have;v. có
apply for a job</b>: <i>nộp đơn xin việc</i><br/><a href="https://audio.tflat.vn/audio/a/p/apply_for_a_job.mp3"><span class="span-audio"><span class="btn-audio fa fa-play-circle"></span></span></a> /əˈplʌɪ fɔː ə dʒɒb/ </p><p></p></div></div><div class="col-md-12 item-content clearfix"><img class="img-thumb" src="https://audio.tflat.vn/data/cache/images/300x225/c/h/change_jobs1.jpg" alt="change jobs"/><div><p><b style="color: #337ab7;">change jobs</b>: <i>thay đổi công việc</i><br/><a href="https://audio.tflat.vn/audio/c/h/change_jobs.mp3"><span class="span-audio"><span class="btn-audio fa fa-play-circle"></span></span></a> / tʃeɪn(d)ʒ dʒɒbz/ </p><p></p></div></div><div class="col-md-12 item-content clearfix"><img class="img-thumb" src="https://audio.tflat.vn/data/cache/images/300x225/c/r/create_jobs1.jpg" alt="create jobs"/><div><p><b style="color: #337ab7;">create jobs</b>: <i>tạo công ăn việc làm</i><br/><a href="https://audio.tflat.vn/audio/c/r/create_jobs.mp3"><span class="span-audio"><span class="btn-audio fa fa-play-circle"></span></span></a> /kriːˈeɪt dʒɒbz/ </p><p></p></div></div><div class="col-md-12 item-content clearfix"><img class="img-thumb" src="https://audio.tflat.vn/data/cache/images/300x225/d/e/dead-end_job1.jpg" alt="dead-end job"/><div><p><b style="color: #337ab7;">dead-end job</b>: <i>công việc không có cơ hội thăng tiến/ phát triển</i><br/><a href="https://audio.tflat.vn/audio/d/e/dead-end_job.mp3"><span class="span-audio"><span class="btn-audio fa fa-play-circle"></span></span></a> /ˌdɛd ˈɛnd dʒɒb/ </p><p></p></div></div><div class="col-md-12 item-content clearfix"><img class="img-thumb" src="https://audio.tflat.vn/data/cache/images/300x225/d/e/demanding_job1.jpg" alt="demanding job"/><div><p><b style="color: #337ab7;">demanding job</b>: <i>công việc yêu cầu cao</i><br/><a href="https://audio.tflat.vn/audio/d/e/demanding_job.mp3"><span class="span-audio"><span class="btn-audio fa fa-play-circle"></span></span></a> / dɪˈmɑːndɪŋ dʒɒb/ </p><p></p></div></div><div class="col-md-12 item-content clearfix"><img class="img-thumb" src="https://audio.tflat.vn/data/cache/images/300x225/h/a/have_a_job_as1.jpg" alt="have a job as"/><div><p><b style="color: #337ab7;">have a job as</b>: <i>làm việc như là (nghề nghiệp)</i><br/><a href="https://audio.tflat.vn/audio/h/a/have_a_job_as.mp3"><span class="span-audio"><span class="btn-audio fa fa-play-circle"></span></span></a> /hav ə dʒɒb əz/ </p><p></p></div></div><div class="col-md-12 item-content clearfix"><img class="img-thumb" src="https://audio.tflat.vn/data/cache/images/300x225/j/o/job_satisfaction1.jpg" alt="job satisfaction"/><div><p><b style="color: #337ab7;">job satisfaction;n. sự thỏa mãn về công việc
win;v. chiến thắng, đạt được
work;v. làm việc
do;v. làm
do my best;v.ph. làm hết sức mình
do damage;v.ph. làm hư hại
do an experiment;v.ph. thử nghiệm
do a favour;v.ph. giúp đỡ
do my hair;v.ph. làm tóc
do my homework;v.ph. làm bài tập
do housework;v.ph. làm việc nhà
do the shopping;v.ph. mua đồ
do the ironing;v.ph. ủi đồ
do the washing;v.ph. giặt đồ
have access to</b>: <i>có quyền truy cập vào</i><br/><a href="https://audio.tflat.vn/audio/h/a/have_access_to.mp3"><span class="span-audio"><span class="btn-audio fa fa-play-circle"></span></span></a> /hav ˈaksɛs tuː/ </p><p></p></div></div><div class="col-md-12 item-content clearfix"><img class="img-thumb" src="https://audio.tflat.vn/data/cache/images/300x225/h/a/have_a_chat1.jpg" alt="have a chat"/><div><p><b style="color: #337ab7;">have a chat</b>: <i>có cuộc nói chuyện</i><br/><a href="https://audio.tflat.vn/audio/h/a/have_a_chat.mp3"><span class="span-audio"><span class="btn-audio fa fa-play-circle"></span></span></a> /hav ə tʃat/ </p><p></p></div></div><div class="col-md-12 item-content clearfix"><img class="img-thumb" src="https://audio.tflat.vn/data/cache/images/300x225/h/a/have_difficulty1.jpg" alt="have difficulty"/><div><p><b style="color: #337ab7;">have difficulty</b>: <i>gặp khó khăn</i><br/><a href="https://audio.tflat.vn/audio/h/a/have_difficulty.mp3"><span class="span-audio"><span class="btn-audio fa fa-play-circle"></span></span></a> /hav ˈdɪfɪk(ə)lti/ </p><p></p></div></div><div class="col-md-12 item-content clearfix"><img class="img-thumb" src="https://audio.tflat.vn/data/cache/images/300x225/h/a/have_doubts1.jpg" alt="have doubts"/><div><p><b style="color: #337ab7;">have doubts</b>: <i>có sự nghi ngờ</i><br/><a href="https://audio.tflat.vn/audio/h/a/have_doubts.mp3"><span class="span-audio"><span class="btn-audio fa fa-play-circle"></span></span></a> /hav daʊts/ </p><p></p></div></div><div class="col-md-12 item-content clearfix"><img class="img-thumb" src="https://audio.tflat.vn/data/cache/images/300x225/h/a/have_a_good_time1.jpg" alt="have a good time"/><div><p><b style="color: #337ab7;">have a good time;v. có khoảng thời gian vui vẻ
have fun;v.ph. vui vẻ
have a break;v.ph. nghỉ ngơi
have a dream;v.ph. có một giấc mơ
have a look;v.ph. nhìn qua
have a party;v.ph. có một bữa tiệc
have an experience;v.ph. có kinh nghiệm 
have a problem;v.ph. bị rắc rối
have an accident;v.ph. bị tai nạn
have an argument;v.ph. tranh cãi
have a conversation;v.ph. nói chuyện 
pay;v. trả, đưa
weather;n. thời tiết
get worse</b>: <i>xấu đi</i><br/><a href="https://audio.tflat.vn/audio/g/e/get_worse.mp3"><span class="span-audio"><span class="btn-audio fa fa-play-circle"></span></span></a> /ɡɛt wəːs/ </p><p></p></div></div><div class="col-md-12 item-content clearfix"><img class="img-thumb" src="https://audio.tflat.vn/data/cache/images/300x225/i/m/improve2.jpg" alt="improve"/><div><p><b style="color: #337ab7;">improve;v. tốt lên
break</b>: <i>phá vỡ, bẻ gãy</i><br/><a href="https://audio.tflat.vn/audio/b/r/break-v.mp3"><span class="span-audio"><span class="btn-audio fa fa-play-circle"></span></span></a> /breɪk/ </p><p></p></div></div><div class="col-md-12 item-content clearfix"><img class="img-thumb" src="https://audio.tflat.vn/data/cache/images/300x225/b/r/break_a_habit1.jpg" alt="break a habit"/><div><p><b style="color: #337ab7;">break a habit</b>: <i>bỏ một thói quen</i><br/><a href="https://audio.tflat.vn/audio/b/r/break_a_habit.mp3"><span class="span-audio"><span class="btn-audio fa fa-play-circle"></span></span></a> /breɪk ə ˈhabɪt/ </p><p></p></div></div><div class="col-md-12 item-content clearfix"><img class="img-thumb" src="https://audio.tflat.vn/data/cache/images/300x225/b/r/break_a_promise1.jpg" alt="break a promise"/><div><p><b style="color: #337ab7;">break a promise</b>: <i>không giữ lời hứa</i><br/><a href="https://audio.tflat.vn/audio/b/r/break_a_promise.mp3"><span class="span-audio"><span class="btn-audio fa fa-play-circle"></span></span></a> /breɪk ə ˈprɒmɪs/ </p><p></p></div></div><div class="col-md-12 item-content clearfix"><img class="img-thumb" src="https://audio.tflat.vn/data/cache/images/300x225/b/r/break_a_record1.jpg" alt="break a record"/><div><p><b style="color: #337ab7;">break a record;v. phá kỷ lục
bring;v. mang
friendship;n. tình bạn
start a friendship</b>: <i>bắt đầu tình bạn</i><br/><a href="https://audio.tflat.vn/audio/s/t/start_a_friendship.mp3"><span class="span-audio"><span class="btn-audio fa fa-play-circle"></span></span></a> /stɑːt ə ˈfrɛn(d)ʃɪp/ </p><p></p></div></div><div class="col-md-12 item-content clearfix"><img class="img-thumb" src="https://audio.tflat.vn/data/cache/images/300x225/d/e/develop_a_friendship1.jpg" alt="develop a friendship"/><div><p><b style="color: #337ab7;">develop a friendship</b>: <i>phát triển tình bạn</i><br/><a href="https://audio.tflat.vn/audio/d/e/develop_a_friendship.mp3"><span class="span-audio"><span class="btn-audio fa fa-play-circle"></span></span></a> /dɪˈvɛləp ə ˈfrɛn(d)ʃɪp/ </p><p></p></div></div><div class="col-md-12 item-content clearfix"><img class="img-thumb" src="https://audio.tflat.vn/data/cache/images/300x225/c/e/cement_a_friendship1.jpg" alt="cement a friendship"/><div><p><b style="color: #337ab7;">cement a friendship</b>: <i>củng cố tình bạn</i><br/><a href="https://audio.tflat.vn/audio/c/e/cement_a_friendship.mp3"><span class="span-audio"><span class="btn-audio fa fa-play-circle"></span></span></a> /sɪˈmɛnt ə ˈfrɛn(d)ʃɪp/ </p><p></p></div></div><div class="col-md-12 item-content clearfix"><img class="img-thumb" src="https://audio.tflat.vn/data/cache/images/300x225/s/p/spoil_a_friendship1.jpg" alt="spoil a friendship"/><div><p><b style="color: #337ab7;">spoil a friendship</b>: <i>làm hỏng tình bạn</i><br/><a href="https://audio.tflat.vn/audio/s/p/spoil_a_friendship.mp3"><span class="span-audio"><span class="btn-audio fa fa-play-circle"></span></span></a> /spɔɪl ə ˈfrɛn(d)ʃɪp/ </p><p></p></div></div><div class="col-md-12 item-content clearfix"><img class="img-thumb" src="https://audio.tflat.vn/data/cache/images/300x225/a/_/a_friendship_grows1.jpg" alt="a friendship grows"/><div><p><b style="color: #337ab7;">a friendship grows</b>: <i>tình bạn lớn dần</i><br/><a href="https://audio.tflat.vn/audio/a/_/a_friendship_grows.mp3"><span class="span-audio"><span class="btn-audio fa fa-play-circle"></span></span></a> /ə ˈfrɛn(d)ʃɪp ɡrəʊz/ </p><p></p></div></div><div class="col-md-12 item-content clearfix"><img class="img-thumb" src="https://audio.tflat.vn/data/cache/images/300x225/c/l/close_friends1.jpg" alt="close friends"/><div><p><b style="color: #337ab7;">close friends</b>: <i>các bạn thân</i><br/><a href="https://audio.tflat.vn/audio/c/l/close_friends.mp3"><span class="span-audio"><span class="btn-audio fa fa-play-circle"></span></span></a> /kləʊz frɛndz/ </p><p></p></div></div><div class="col-md-12 item-content clearfix"><img class="img-thumb" src="https://audio.tflat.vn/data/cache/images/300x225/m/u/mutual_friends1.jpg" alt="mutual friends"/><div><p><b style="color: #337ab7;">mutual friends</b>: <i>bạn chung</i><br/><a href="https://audio.tflat.vn/audio/m/u/mutual_friends.mp3"><span class="span-audio"><span class="btn-audio fa fa-play-circle"></span></span></a> /ˈmjuːtʃ(ə)l frɛndz/ </p><p></p></div></div><div class="col-md-12 item-content clearfix"><img class="img-thumb" src="https://audio.tflat.vn/data/cache/images/300x225/a/_/a_casual_acquaintance1.jpg" alt="a casual acquaintance"/><div><p><b style="color: #337ab7;">a casual acquaintance</b>: <i>người quen</i><br/><a href="https://audio.tflat.vn/audio/a/_/a_casual_acquaintance.mp3"><span class="span-audio"><span class="btn-audio fa fa-play-circle"></span></span></a> /ə ˈkaʒjʊəl əˈkweɪnt(ə)ns/ </p><p></p></div></div><div class="col-md-12 item-content clearfix"><img class="img-thumb" src="https://audio.tflat.vn/data/cache/images/300x225/k/e/keep_in_touch1.jpg" alt="keep in touch"/><div><p><b style="color: #337ab7;">keep in touch;v. phr. giữ liên lạc
business;n. kinh doanh
law;n. luật
