abandon;v. từ bỏ
extensive;adj. lớn, rộng lớn
famine;n. nạn đói
fancy;adj. cầu kỳ, sặc sỡ
fatal;adj. gây tử vong, gây chết người
favour;n. điều bạn làm giúp đỡ người khác, ơn, ân huệ
feasible;adj. khả thi
feature;n. điểm đặc trưng
fertile;adj. màu mỡ
finite;adj. có hạn
flock;v. lũ lượt kéo đến
flourish;v. phát triển (hint :f...)
foremost;adj. lỗi lạc nhất, đầu tiên
foster;v. ấp ủ, nuôi dưỡng, thúc đẩy
fragment;n. mảnh, mảnh vỡ
fraud;n. sự gian lận, sự lừa gạt
fundamental;adj. cơ bản, chủ yếu
gesture;n. điệu bộ, cử chỉ
grave;adj. trang nghiêm, nghiêm nghị
halt;v. dừng lại, bắt ai hoặc vật gì dừng lại
harness;v. khai thác, sử dụng tiềm năng
hazardous;adj. nguy hiểm (đến sức khỏe hoặc sư an toàn của ai)
herald;v. báo trước
hierarchy;n. hệ thống cấp bậc
highlight;v. làm nổi bật
hostile;adj. không thân thiện, thù địch
hybrid;n. cây lai, vật lai
hypothesis;n. giả thuyết
ideology;n. ý thức hệ, hệ tư tưởng
illusion;n. ảo tưởng
imminent;adj. sắp xảy ra
immune;adj. miễn dịch
implement;v. thi hành, thực hiện
implicit;adj. ngầm, ẩn ý
impose;v. bắt chịu, bắt gánh vác
incentive;n. các phần thưởng khuyến khích nhân viên làm việc tốt hơn, động cơ
indigenous;adj. bản địa, vốn thuộc về một nơi nào đó
induce;v. khiến, xui khiến
inevitable;adj. không thể tránh được, chắc chắn xảy ra
inference;n. điều suy ra, điều rút ra
inherent;adj. vốn có, cố hữu
innovation;n. sự đổi mới
integral;adj. cần thiết, không thể thiếu
integrity;n. tính toàn bộ, tính toàn vẹn
intense;adj. mạnh, có cường độ lớn
intervene;v. xen vào, can thiệp
intrinsic;adj. nội tại, thực chất bên trong
involve;v. bao gồm, liên quan
latent;adj. tiềm ẩn, âm ỉ
lateral;adj. ở bên
launch;v. phát động, khởi động
legislature;n. cơ quan lập pháp
legitimate;adj. chính đáng, hợp pháp
lethal;adj. gây chết người
liaison;n. người liên lạc, liên kết
magnetic;adj. có sức hấp dẫn mạnh, có sức lôi cuốn mạnh, có sức quyến rũ
magnitude;n. tầm cỡ, độ lớn
mandatory;adj. (thuộc) lệnh, bắt buộc
manifestation;n. sự biểu lộ, sự biểu thị
massacre;n. cuộc thảm sát
masterpiece;n. kiệt tác
mature;adj. trưởng thành, chín chắn
mere;adj. chỉ (dùng để nhấn mạnh điều gì là rất nhỏ, không quan trọng...)
merit;n. công lao, công trạng
mobile;adj. di động, lưu động
mock;v. chế nhạo (bằng cách bắt chước lời nói hoặc hành động)
moderate;adj. khiêm tốn, vừa phải, trung bình
momentum;n. đà
monetary;adj. (thuộc) tiền tệ
morale;n. (quân sự) tinh thần, nhuệ khí
municipal;adj. (thuộc) thành phố/ đô thị
mutation;n. sự đột biến
nominal;adj. chỉ tồn tại trên danh nghĩa, hữu danh vô thực
norm;n. chuẩn mực, quy tắc
notion;n. ý nghĩ, ý niệm, cách hiểu
notorious;adj. khét tiếng
notwithstanding;preposition. không bị ảnh hưởng bởi, bất chấp
novelty;n. tính mới lạ, tính lạ thường
novice;n. người mới học, người chưa có kinh nghiệm
obscure;adj. khó hiểu
obstacle;n. trở ngại, khó khăn
obvious;adj. rõ ràng, rành mạch, hiển nhiên
overlap;v. chồng chéo (lên nhau)
overview;n. nhìn tồng quát, miêu tả chung, ngắn gọn
overwhelming;adj. rất lớn và mạnh, áp đảo
paradigm;n. mẫu, mô hình
paradox;n. nghịch lí, mâu thuẫn
parameter;n. giới hạn
paramount;adj. quan trọng nhất
particle;n. mảnh nhỏ (của cái gì)
perceive;v. nhận thấy, để ý
persistent;adj. kiên trì, dai dẳng
perspective;n. góc nhìn, khía cạnh
poll;n. cuộc điều tra dư luận, cuộc thăm dò ý kiến
posture;n. tư thế, dáng điệu
potent;adj. có ảnh hưởng mạnh (đối với cơ thể hay trí tuệ)
predecessor;n. người đi trước, bậc tiền bối
preliminary;adj. sơ bộ, ban đầu
prestige;n. uy tín, thanh danh
prestigious;adj. có uy tín, có thanh thế
presumably;adv. có lẽ
primitive;adj. nguyên thủy
prior;adj. trước đó, trước (một khoảng thời gian nào đó)
privilege;n. ưu tiên, đặc quyền
probe;v. thăm dò, dò xét
profound;adj. rất lớn, sâu sắc
prominent;adj. quan trọng, nổi tiếng
prone;adj. dễ bị, dễ mắc phải
prosperous;adj. thịnh vượng, phồn vinh
provisional;adj. tạm thời, lâm thời
proximity;n. sắp xỉ, sự gần gũi
radical;adj. liên quan đến những phần cơ bản và quan trọng nhất, hoàn toàn, triệt để
ratio;n. tỷ số, tỷ lệ
rational;adj. hợp lí, dựa trên lí trí
raw;adj. còn sống (chưa được nấu)
recover;v. hồi phục
regime;n. chế độ
regulatory;adj. có quyền lực điều khiển một lĩnh vực kinh doanh hoặc công nghiệp
remarkable;adj. phi thường, đáng chú ý
reminiscent;adj. làm nhớ lại, gợi lại
render;v. làm, khiến (ai lâm vào tình trạng nào)
renowned;adj. nổi tiếng
residual;adj. còn dư, còn lại của một quá trình
retain;v. giữ lại, tiếp tục có
rigid;adj. cứng nhắc, không linh hoạt
rigorous;adj. khắt khe, nghiêm ngặt
rural;adj. thuộc nông thôn, thôn quê
sally;n. câu nhận xét hài hước
sanction;v. phê chuẩn
sanctuary;n. khu bảo tồn
secular;adj. không liên quan đến tôn giáo
seek;v. tìm kiếm
severe;adj. cực kì nghiêm trọng, trầm trọng
sheer;adj. chỉ là, đúng là, tuyệt đối, hoàn toàn (dùng để nhấn mạnh độ to, lớn)
sinister;adj. có vẻ ác, có vẻ nguy hiểm, tạo cảm giác chẳng lành
solidarity;n. sự đoàn kết
solitary;adj. diễn ra một mình
span;n. quãng thời gian
specimen;n. mẫu, mẫu vật
spectacular;adj. hùng vĩ
spectrum;n. sự phân bổ theo tính chất
speculation;n. sự suy đoán
spontaneous;adj. ngẫu hứng, tự phát
static;adj. tĩnh, không thay đổi, phát triển
statistics;n. số liệu thống kê
stimulate;v. khích lệ, khuyến khích
subsidy;n. bao cấp, trợ cấp
substantial;adj. lớn, đáng kể
subtle;adj. khó thấy, không dễ phát hiện
sufficient;adj. đủ, đủ dùng (cho một việc hay mục đích nào đó)
surveillance;n. sự theo dõi cẩn thận đối với người bị nghi ngờ hình sự, sự giám sát
suspicious;adj. đầy nghi ngờ
swift;adj. mau, nhanh, lẹ
sympathetic;adj. đồng cảm, thông cảm
tangible;adj. hữu hình, rõ ràng
tender;adj. âu yếm, dịu dàng
thermal;adj. thuộc về nhiệt
threshold;n. (nghĩa bóng) ngưỡng cửa
trait;n. đức tính
transform;v. thay đổi, biến đổi
trauma;n. chấn thương tâm lí, tổn thương
trigger;n. nguyên nhân thúc đẩy (đặc biệt là một điều tồi tệ xảy ra)
triumph;n. thành tựu, chiến thắng
trivial;adj. nhỏ nhặt, lặt vặt
undergo;v. trải qua
undertake;v. thực hiện
utter;adj. hoàn toàn, tuyệt đối
vague;adj. mơ hồ
valid;adj. có giá trị, có hiệu lực
variable;n. biến số, vật, lượng, tình huống có thể thay đổi
vast;adj. rất lớn (diện tích, kích cỡ, lượng,...)
venture;n. cuộc mạo hiểm
vigorous;adj. mãnh liệt, đầy sinh lực
virtual;adj. thực sự
vital;adj. thiết yếu, mang tính quyết định
vivid;adj. sinh động
wary;adj. thận trọng, cảnh giác đối với ai, điều gì
widespread;adj. lan rộng, rộng rãi
wretched;adj. buồn, bệnh
yield;v. sinh lợi
abolish;v. bãi bỏ, xóa bỏ (luật, hệ thống, tổ chức)
abrupt;adj. bất ngờ, đột ngột
acclaim;v. ca ngợi, tán dương
accolade;n. sự vinh danh, phần thưởng cho thành tựu mà mọi người ngưỡng mộ
accuse;v. buộc tội, tố cáo
adversary;n. đối thủ
adversity;n. nghịch cảnh, sự bất hạnh
affluent;adj. giàu có
alias;adv. bí danh, biệt hiệu
allocate;v. cấp cho, phân phối
ambivalent;adj. vừa yêu, vừa ghét (cái gì), (cảm xúc) lẫn lộn
amenable;adj. dễ bảo, biết nghe theo, phục tùng
amiable;adj. dễ thương, thân thiện
analogous;adj. tương tự, giống nhau
anarchy;n. sự hỗn loạn, tình trạng vô chính phủ, vô tổ chức
annex;v. thôn tính một đất nước, vùng,... nhất là bằng vũ lực
apathy;n. sự lãnh đạm, thờ ơ
arbiter;n. người phân xử, trọng tài
arduous;adj. khó khăn, gian khổ
aristocracy;n. giới quý tộc
ascertain;v. biết chắc, xác định rõ ràng
assimilate;v. trở thành (hoặc làm cho ai đó trở thành) một phần của một cộng đồng, một đất nước thay vì là một nhóm riêng biệt, hòa nhập (làm cho ai đó hòa nhập)
astute;adj. sắc sảo, nhạy bén
atheist;n. người theo thuyết vô thần
atrocity;n. sự tàn bạo
augment;v. làm tăng lên
banal;adj. thường, vô vị
banter;n. sự đùa giỡn
benevolent;adj. nhân từ, tốt bụng, rộng lượng
blatant;adj. trắng trợn (hint :b...)
blight;v. làm hại, làm hỏng
bog;v. ngăn cản tiến độ của ai
by-product;n. kết quả phụ, tác dụng phụ
callous;adj. nhẫn tâm
caricature;n. tranh biếm hoạ
caustic;adj. châm biếm, cay độc
chivalry;n. phong cách hào hiệp (nhất là với phụ nữ)
circulate;v. lưu hành, truyền
clandestine;adj. giấu giếm, bí mật
clement;adj. khoan dung, nhân từ
coercion;n. sự ép buộc, sự áp bức
collaborate;v. cộng tác
collusion;n. sự câu kết, sự thông đồng
colossal;adj. rất lớn
commemorate;v. kỷ niệm, tưởng niệm
commence;v. bắt đầu
commonplace;adj. phổ biến (hint :c...)
complacent;adj. tự mãn
concede;v. thừa nhận (điều gì là đúng, hợp lí...)
confer;v. hỏi ý kiến, hội ý
congenial;adj. hợp nhau, ăn ý nhau
conglomerate;n. đại tập đoàn (liên kết các công ty khác nhau hoàn toàn về lĩnh vực kinh doạnh)
conjecture;n. sự phỏng đoán, sự ước đoán
conjure;v. làm ảo thuật
constrain;v. ép buộc
consul;n. lãnh sự
contemptuous;adj. tỏ vẻ khinh thường
contradict;v. mâu thuẫn với, trái với
cooperate;v. hợp tác
copious;adj. nhiều, với số lượng lớn
cosmopolitan;adj. (mang tính) quốc tế
countenance;n. sắc mặt
craven;adj. hèn nhát
credence;n. sự đáng tin
credible;adj. có thể tin được
cryptic;adj. ẩn ý hoặc không dễ hiểu
cultivate;v. canh tác, trồng trọt
cursory;adj. qua loa, lướt qua
curt;adj. cộc lốc, cụt ngủn
defy;v. không tuân theo, bất chấp, coi thường
deity;n. vị thần
delicacy;n. sự mỏng manh, mềm mại
delinquent;adj. có chiều hướng phạm pháp
delusion;n. ảo tưởng (về bản thân)
demeanour;n. cách xử sự, cử chỉ, thái độ
denote;v. biểu hiện, biểu thị
depict;v. mô tả, phản ánh
descend;v. đi xuống
deteriorate;v. trở nên xấu đi, suy giảm
detrimental;adj. có hại
devastation;n. sự tàn phá
deviate;v. đổi hướng, xa rời
devious;adj. không thành thật, thủ đoạn
devoid;adj. hoàn toàn thiếu (một cái gì đó)
devout;adj. thành kính, mộ đạo
dictum;n. câu châm ngôn
discard;v. bỏ, vứt bỏ
discern;v. nhận ra, hiểu điều gì (nhất là điều gì đó không rõ ràng)
discredit;v. làm mất uy tín
discrete;adj. riêng biệt
discursive;adj. rời rạc, không mạch lạc
dismay;n. sự buồn bã và lo lắng
disparity;n. sự cách biệt, sự chênh lệch
dispatch;v. gửi đi (thư, thông điệp...), phái đi
dispel;v. xua đuổi đi, xua tan
disperse;v. giải tán, tan tác
dissolve;v. hoà tan, tan ra
distort;v. xuyên tạc, bóp méo
distraught;adj. quẫn trí
diversify;v. đa dạng hóa, thay đổi
divert;v. hướng (sự chú ý,...) sang chuyện khác
dogmatic;adj. cho rằng hoặc gợi ý rằng cái gì đó là đúng mà chẳng đếm xỉa đến bằng chứng hoặc những ý kiến khác, giáo điều
dwell;v. ở, cư ngụ
edifice;n. công trình xây dựng hoành tráng
elicit;v. khơi gợi, lấy được (thông tin hay phản ứng của ai)
embark;v. bắt đầu làm điều gì mới và khó khăn
emissary;n. sứ giả
emit;v. tỏa ra, phát ta (ánh sáng, nhiệt, âm thanh, khí,...)
enactment;n. sự ban hành
encompass;v. bao gồm, chứa đựng
endure;v. chịu đựng, cam chịu
entitle;v. cho phép làm cái gì
envoy;n. phái viên, đại diện ngoại giao
equitable;adj. công bằng, hợp lí
eradicate;v. tiêu hủy
erratic;adj. thất thường, không đều, không thể tin cậy
esoteric;adj. chỉ những người đặc biệt quan tâm, có kiến thức chuyên môn mới hiểu được
evolve;v. phát triển (hint :e...)
exaggerate;v. phóng đại, cường điệu
exert;v. gây, tác động (để ảnh hưởng ai, cái gì)
expedient;n. cách, kế (thường không đúng đắn)
exquisite;adj. cực kỳ đẹp hoặc tinh tế
extravagant;adj. phung phí
facade;n. bề ngoài, vẻ ngoài
facet;n. khía cạnh (vấn đề...)
fallacy;n. ý kiến sai lầm (mà nhiều người cho là đúng)
fanciful;adj. tưởng tượng, không có thật
farce;n. sự kiện diễn ra quá tệ và trở thành trò hề
fathom;v. thấu hiểu, tìm lời giải
fatigue;n. sự mệt nhọc, mệt mỏi
feat;n. chiến công, chiến tích
feeble;adj. yếu ớt
felicity;n. hạnh phúc lớn
fervent;adj. nhiệt thành, tha thiết
fiasco;n. thất bại lớn, thất bại ê chề
fictitious;adj. hư cấu
flamboyant;adj. sặc sỡ, rực rỡ, khoa trương
flaw;n. sai lầm, thiếu sót
forefront;n. hàng đầu, địa vị quan trọng trong một nhóm
forensic;adj. (thuộc) pháp y
forfeit;v. để mất, mất quyền 
frail;adj. ốm yếu
genesis;n. nguồn gốc, khởi điểm của một cái gì
ghastly;adj. ghê sợ, khủng khiếp
grimace;v. nhăn nhó (khi ghê tởm hoặc đau đớn)
gruelling;adj. khó khăn, mệt mỏi
hail;v. hoan hô, hoan nghênh
haphazard;adj. bừa bãi, lộn xộn
haphazardnone;(adjectivenone). bừa bãi, lộn xộn
hoax;n. trò đánh lừa, trò chơi khăm
illumination;n. sự chiếu sáng, nơi tỏa sáng
immaculate;adj. sạch bóng, không tỳ vết
impeccable;adj. hoàn hảo, không chê vào đâu được, không tỳ vết (đồ vật...)
impediment;n. trở ngại, cản trở
increment;n. khoảng lương tăng
incumbent;n. người đương nhiệm
indicative;adj. tỏ ra, ngụ ý, biểu thị
indiscriminate;adj. thiếu suy nghĩ, bất cẩn
ingenious;adj. khéo léo, tài tình, mưu trí
inhibit;v. ngăn chặn, kiềm chế
innate;adj. bẩm sinh
innocuous;adj. không có hại, vô thưởng, vô phạt
insatiable;adj. không thể thoả mãn được, không chán
inscription;n. chữ khắc (trên đá, kim loại hoặc bìa sách..)
insidious;adj. âm ỉ, ngấm ngầm (gây ra tác hại nghiêm trọng)
inspire;v. truyền cảm hứng
instantaneous;adj. diễn ra ngay lập tức
intangible;adj. không thể sờ thấy được, mơ hồ
interchange;n. trao đổi (nhất là ý tưởng, thông tin)
interminable;adj. dài dòng, vô tận, tràng giang đại hải
intermittent;adj. lúc có lúc không, không liên tục
intricate;adj. phức tạp
intrigue;v. tạo sự hứng thú
invoke;v. viện đến, dẫn chứng (luật, quy tắc...)
itinerary;n. lộ trình
jargon;n. biệt ngữ, thuật ngữ (dùng bởi một nhóm người hay trong một nghề nghiệp chuyên môn)
jeopardy;n. tình trạng nguy hiểm
judicious;adj. sáng suốt, khôn ngoan, có suy xét
keynote;n. điểm chính yếu, chủ chốt
lavish;adj. lớn, hoang phí
liberate;v. giải phóng
linger;v. nấn ná, chần chừ, mất nhiều thời gian làm gì
literal;adj. theo nghĩa đen
loathe;v. căm ghét
lofty;adj. kiêu căng, kiêu ngạo
longevity;n. tuổi thọ, trường thọ
ludicrous;adj. phi lý, không thể xem là nghiêm túc
luminous;adj. toả sáng trong bóng tối, dạ quang
malice;n. ác tâm
manipulate;v. lôi kéo, vận động (bằng mánh khoé)
marketplace;n. thị trường
mediocre;adj. xoàng, trung bình
menace;n. mối đe dọa
mercenary;n. lính đánh thuê, tay sai
miles;n. dặm
misconception;n. quan niệm sai, sự hiểu sai
mislead;v. làm cho mê muội, làm cho lầm đường lạc lối
monologue;n. cuộc độc thoại
monotonous;adj. đều đều, đơn điệu, buồn tẻ
mundane;adj. không thú vị, không hấp dẫn, bình thường, nhàm chán
murky;adj. không rõ ràng, âm u, tối tăm
muster;v. tập hợp hết mức có thể (sự ủng hộ, lòng can đảm,...)
myriad;n. vô số, rất nhiều
negligible;adj. không đáng kể
nettle;v. chọc tức
nocturnal;adj. (hoạt động) về đêm
nostalgic;adj. luyến tiếc quá khứ, hoài niệm
oblivious;adj. không chú ý đến
obsolete;adj. lỗi thời, lạc hậu
omen;n. điềm
ominous;adj. báo điềm xấu, đáng ngại
onus;n. nhiệm vụ, trách nhiệm
outburst;n. bộc phát (cảm xúc, hành vi)
outlaw;v. đặt ra ngoài vòng pháp luật, cấm
override;v. dùng quyền hành để bác bỏ quyết định của ai
overthrow;v. lật đổ
painstaking;adj. cần nhiều nỗ lực và sự tỉ mỉ
parody;n. văn, thơ, hành động nhại lại ai, cái gì đó để giải trí hay gây cười
partisan;adj. thiên vị, thiên lệch
pecuniary;adj. (thuộc) tiền
penetrate;v. đâm thủng, xuyên qua
peril;n. (mối) hiểm nguy
perish;v. diệt vong, thiệt mạng
perpendicular;adj. vuông góc
perpetual;adj. không ngừng, liên tục, vĩnh viễn
perverse;adj. ngang bướng, ngoan cố
pigment;n. sắc tố
poignant;adj. gây xúc động, chua xót, sâu sắc
ponder;v. nghĩ ngợi (về cái gì)
precarious;adj. bấp bênh, không ổn định, nguy hiểm
predominant;adj. ưu thế
prerogative;n. đặc quyền
presumption;n. giả định
prevail;v. thịnh hành, thường xảy ra nhiều (ở một thời gian hay thời điểm)
prevalent;adj. phổ biến (hint :p...)
prodigious;adj. to lớn, lớn lao, phi thường
prolong;v. kéo dài thời gian (của việc gì đó)
propensity;n. thiên hướng
proponent;n. người ủng hộ một ý tưởng hoặc đường lối hoạt động
propriety;n. sự đúng đắn, sự đúng mực
prowess;n. sự tinh thông, sự thành thạo
punitive;adj. để trừng phạt
reciprocal;adj. qua lại, tương hỗ
redeem;v. đền bù, bù lại
refrain;v. kềm chế
refute;v. bác bỏ, chứng minh điều gì là sai
relinquish;v. từ bỏ, buông thả
remnant;n. tàn dư, cái còn lại
reprisal;n. sự trả thù, sự trả đũa
resent;v. phẫn uất, không bằng lòng
resilient;adj. kiên cường, nhanh chóng phục hồi sau một cú sốc hoặc chấn thương...
respite;n. thời gian nghỉ ngơi hoặc thoát khỏi điều gì khó khăn hoặc không dễ chịu
retinue;n. đoàn tùy tùng
retribution;n. sự trừng phạt, sự báo thù
retrieve;v. lấy lại, mang về
ripple;n. gợn sóng
rudimentary;adj. sơ bộ, sơ đẳng
scatter;v. rắc, rải
scorn;n. Sự khinh bỉ, sự khinh miệt
serene;adj. yên lặng, thanh bình
shroud;v. che đậy
sordid;adj. hèn mọn
sporadic;adj. không thường xuyên, không đều đặn, rải rác
stagnant;adj. trì trệ
stigma;n. thái độ kỳ thị với một căn bệnh hoặc cách ứng xử, vết nhơ
strenuous;adj. đòi hỏi cố gắng lớn, vất vả
stringent;adj. nghiêm ngặt
stumble;v. vấp ngã
sturdy;adj. cứng cáp, vững chắc
sublime;adj. siêu phàm, tuyệt vời
supernatural;adj. siêu nhiên
suspend;v. tạm ngừng, đình chỉ
taunt;v. trêu chọc, khiêu khích
temperate;adj. có chừng mực, ôn hoà
temporal;adj. (thuộc) trần tục, (thuộc) thế tục
tenet;n. nguyên lý, giáo lý, chủ nghĩa
tentative;adj. tạm thời
tenuous;adj. yếu ớt, không chắc chắn (hầu như không tồn tại)
thrive;v. trở nên, tiếp tục thành công hoặc khỏe mạnh
topography;n. địa thế, địa hình, phép họa đồ
tranquil;adj. tĩnh lặng
turmoil;n. sự rối loạn, tình trạng hỗn loạn
ubiquitous;adj. có ở khắp nơi, rất phổ biến
uncalled for;adj. không đúng lúc, đúng chỗ
uncanny;adj. kỳ lạ, khó hiểu
uphold;v. ủng hộ, duy trì
utilitarian;adj. mang tính hữu dụng, thiết thực
vain;adj. vô ích, không có kết quả
vanish;v. biến mất (một cách không thể giải thích)
versatile;adj. đa năng, nhiều công dụng
vestige;n. dấu vết, vết tích (của cái gì đó đã từng tồn tại)
violate;v. vi phạm, xâm phạm
withhold;v. Giấu, kìm lại, giữ lại
withstand;v. trụ lại, chịu đựng
zenith;n. cực điểm, tột đỉnh
abet;v. xúi giục
abhor;v. ghê tởm, ghét cay ghét đắng
abject;adj. khốn khổ và hết hy vọng
abridge;v. rút ngắn lại, cắt bớt (sách, vở kịch,...)
abrogate;v. bãi bỏ (luật lệ, thỏa thuận,...)
abstemious;adj. tiết chế, có điều độ
accede;v. đồng ý, tán thành
accentuate;v. tô điểm, làm nổi bật
acrimonious;adj. chua cay, gay gắt
acumen;n. sự nhạy bén
admonish;v. khiển trách, la rầy
affable;adj. lịch sự, hoà nhã, niềm nở, ân cần
aforementioned;adj. đã kể trước đây, đã nói ở trên
aggravate;v. làm trầm trọng, xấu thêm
agitate;v. tranh luận, vận động
alacrity;n. sự sốt sắng
alienate;v. làm ai đó xa lánh bản thân
allay;v. làm dịu đi, làm lắng xuống (nỗi xúc động, nỗi buồn...)
allure;n. sức quyến rũ, sức lôi cuốn
amass;v. chất đống, tích luỹ
anachronism;n. người, phong tục, quan niệm lỗi thời
animus;n. ác cảm
apprise;v. cho biết, báo cho biết
approbation;n. sự chấp thuận, sự đồng ý
archetype;n. ví dụ điển hình
artful;adj. tinh ranh, ma mãnh
ascetic;adj. khổ hạnh
assail;v. công kích (bằng lời nói hoặc vũ lực)
assiduous;adj. chuyên cần, siêng năng
auspicious;adj. có điềm tốt, điềm lành, thuận lợi
avarice;n. tính hám lợi, tính tham lam
awry;adj. hỏng, không như ý muốn
bane;n. điều gây ra rắc rối, buồn phiền cho ai
belie;v. tạo ra ấn tượng sai về ai, điều gì
belligerent;adj. hay gây sự
bestow;v. ban tặng cái gì cho ai (nhất là để cho thấy họ đáng tôn trọng)
bibliophile;n. người mê sách
blandishments;n. lời xu nịnh
bombast;n. lời nói khoa trương
boorish;adj. thô lỗ
bucolic;adj. (thuộc) thôn quê, cuộc sống nông thôn
buffoon;n. anh hề
bulwark;n. người bảo vệ, nguyên tắc bảo vệ
bumptious;adj. tự phụ, khoa trương
burgeon;v. bắt đầu lớn lên, phát triển nhanh chóng
cadaverous;adj. tái nhợt, nhìn như bị bệnh
calamity;n. tai hoạ, tai ương
candid;adj. ngay thẳng, bộc trực
candour;n. tính thật thà, ngay thẳng
cantankerous;adj. nóng tính, hay phàn nàn
capricious;adj. thất thường
castigate;v. chỉ trích ai, điều gì một cách nghiêm khắc
cherish;v. trân trọng, yêu quý
