accept;v. nhận, chấp nhận
mention;v. nói đến, đề cập đếm, đề xuất
message;n. thông báo, lời nhắn
mouse mat;n. tấm đế để chuột máy tính
negative;adj. tiêu cực, có hại
negotiation;n. sự đàm phán, sự thương lượng
net;adj. thuần, ròng, tịnh, thực
network;v. nối mạng
nine;cardinal no. số chín
notice;v. lưu ý, lưu tâm
obligation;n. nghĩa vụ, bổn phận
obtain;v. giành được, kiếm được (to acquire)
occupation;n. nghề nghiệp
offer;n. đề xuất, đề nghị, chào mời, chào hàng
office;n. văn phòng
official;n. quan chức, công chức
operator;n. người trực tổng đài
opinion;n. ý kiến, quan điểm
opportunity;n. cơ hội, thời cơ
option;n. sự chọn lựa, quyền lựa chọn
order;n. đơn đặt hàng
order book;n. sổ ghi các đơn hàng đặt
outbox;n. hộp thư đi (email bạn viết được lưu ở đây trước khi gửi đi)
output;n. sản lượng, đầu ra
package;v. đóng gói
paper clip;n. kẹp giấy
partner;n. bạn (cùng phe, cùng nhóm)
pay;v. trả, đưa
pay cheque;n. số tiền mà bạn kiếm được
payment;n. sự chi trả, thanh toán
pay packet;n. thu nhập, tiền lương
penalty;n. hình phạt
pencil sharpener;n. cái gọt bút chì
pension;n. lương hưu
performance;n. buổi biểu diễn, sự trình diễn
permanent;adj. lâu dài, thường trực, cố định
permission;n. sự cho phép, sự chấp nhận
personnel;n. nhân viên (hint :p...)
plan;n. kế hoạch, dự án
point;v. chỉ ra điều gì
policy;n. chính sách, hợp đồng, khế ước
position;n. vị trí
positive;adj. tích cực, lạc quan
possibility;n. khả năng (có thể xảy ra hoặc tồn tại)
post;v. đăng tin
potential;adj. tiềm năng, tiềm tàng
presentation;n. bài trình bày
president;n. hiệu trưởng, chủ tịch
price;n. giá tiền
process;n. quá trình
produce;v. sản xuất, sản sinh, tạo ra
product;n. sản phẩm
production;n. (sự) sản xuất
professional;adj. chuyên nghiệp
profit;n. lợi nhuận
prospect;n. viễn cảnh, triển vọng
purchase;n. việc mua bán
pushpin;n. cái ghim (với đầu nhựa có màu, không dẹt)
qualification;n. năng lực, trình độ (để làm cái gì)
qualified;adj. đủ điều kiện
quarter;n. 1/4, 15 phút
range;n. phạm vi
rank;n. thứ hạng
ratio;n. tỷ số, tỷ lệ
reach;v. đạt đến một mốc hay giai đoạn nào đó
receive;v. nhận
recession;n. sự suy thoái (kinh tế)
reduce;v. giảm, hạ
reference;n. thư giới thiệu
refuse;v. từ chối
regulation;n. quy tắc, nội quy
reply;v. trả lời, đáp lại 
report;v. báo cáo, tường thuật
requirement;n. yêu cầu
responsibility;n. trách nhiệm, bổn phận
result;n. kết quả, đáp số
review;n. bài đánh giá, lời đánh giá
reward;n. tiền thưởng, vật thưởng (làm việc chăm chỉ...)
rise;v. mọc (mặt trời), nhô lên
risk;n. nguy cơ, sự nguy hiểm, sự rủi ro
role;n. vai, vai trò
routine;n. thói quen
rubber band;n. dây cao su
salary;n. lương hàng tháng
schedule;n. chương trình, lịch trình
screen;v. sàng, lọc (hồ sơ xin việc)
secretary;n. thư kí (hint :s...)
section;n. bộ phận, phòng, ban
sell;v. bán
senior;adj. chức cao, thâm niên
service;n. dịch vụ
share;n. một phần (được phân chia giữa 2 hay nhiều người)
shareholder;n. người nắm giữ cổ phần, cổ đông
shift;v. chuyển dịch 
situation;n. tình hình, vị thế
skill;n. kỹ năng, kỹ xảo
social security;n. phúc lợi xã hội
software;n. phần mềm, chương trình máy tính
sort;v. sắp xếp, phân loại
speaker;n. diễn giả, người diễn thuyết
stable;adj. ổn định
staff;n. nhân viên (hint :s...)
statement;n. sự trình bày, bản kê
steady;adj. đều đặn, ổn định
stock;v. trữ hàng
strategy;n. chiến lược, sự vạch kế hoạch hành động
strike;n. cuộc đình công, cuộc bãi công
structure;n. cấu trúc, công trình kiến trúc
success;n. ‹sự/người› thành công, thành đạt, thắng lợi
summary;n. (bài, bản) tóm tắt
supplier;n. nhà cung cấp
supply;n. ‹sự/đồ/nguồn/_› dự trữ, tiếp tế cấp
support;v. ủng hộ, hỗ trợ
swing shift;n. ca hai (từ 3 hoặc 4 giờ chiều đến 11 hoặc 12 giờ tối), công nhân làm ca hai
take;v. đưa, đưa đi, mang theo
tape;n. băng
target;n. mục tiêu, mục đích
task;n. nhiệm vụ
tax;n. thuế
terms;n. điều kiện, điều khoản
the minutes;n. bản tóm tắt những gì được thảo luận hay quyết định tại một cuộc họp
topic;n. chủ đề
trade;n. thương mại
train;n. tàu hỏa
transfer;v. chuyển
transport;n. sự chuyển chở, vận tải
treasury;n. Kho bạc nhà nước, Bộ tài chính
trend;n. xu hướng
unemployment benefit;n. trợ cấp thất nghiệp
union;n. công đoàn
vote;n. lá phiếu, sự bỏ phiếu
wage;n. tiền công, tiền lương (thường trả theo giờ)
weakness;n. điểm yếu, nhược điểm, khuyết điểm
weekend;n. ngày cuối tuần
work;v. làm việc
worker;n. người lao động
absent;adj. vắng mặt, đi vắng
acquire;v. đạt được, thu được
ad;n. quảng cáo
advertise;v. quảng cáo, đăng tin (tuyển dụng...)
agenda;n. đề tài thảo luận, chương trình nghị sự
AGM;abbreviation. cuộc tổng họp hằng năm (viết tắt của Annual General Meeting)
allocate;v. cấp cho, phân phối
AOB;abbreviation. viết tắt của "any other business" (những nội dung khác được thảo luận cuối buổi họp mà nằm ngoài chương trình nghị sự)
appoint;v. chỉ định, bổ nhiệm
apprenticeship;n. thời gian học việc, sự học việc
approve;v. chấp thuận
aptitude;n. năng khiếu
arbitration;n. sự giải quyết tranh chấp bằng trọng tài
aspiring;adj. mong muốn, khao khát (tromg một lĩnh vực nào đó được đề cập đến)
associate;n. cộng tác, đồng sự
attachment;n. tài liệu đính kèm (khi gửi email)
attain;v. đạt được
audit;v. kiểm toán
ballot;n. sự bỏ phiếu kín
bankruptcy;n. sự phá sản, sự vỡ nợ
bargain;n. món hời, cơ hội tốt (buôn bán)
blunder;n. lỗi sai ngớ ngẩn hoặc bất cẩn
boardroom;n. phòng họp của phòng ban công ty
bookkeeper;n. người làm sổ sách
borrow;v. mượn, vay
bottom line;n. điểm mấu chốt, điểm cốt yếu
brainstorm;v. nêu ý kiến, ý tưởng để thảo luận hoặc cân nhắc
brand;n. nhãn hiệu, nhãn hàng, chi nhánh
briefcase;n. kẹp, cặp đựng giấy tờ, tài liệu
bulldog clip;n. kẹp giấy kim loại
bureaucracy;n. sự quan liêu, thói quan liêu
calculate;v. tính, tính toán
calculator;n. máy tính
cancel;v. hủy bỏ
cashier;n. thu ngân
chairwoman;n. nữ chủ tịch, nữ chủ tọa trong cuộc họp
chief executive officer;n. giám đốc điều hành
civil servant;n. công chức
classify;v. phân loại
clerk;n. thư kí (hint :c...)
collaborate;v. cộng tác
commence;v. bắt đầu
commodity;n. (Kinh tế) hàng hóa
communicate;v. giao tiếp
commute;v. đi lại đều đặn (giữa nơi làm việc và nhà)
compensate;v. bù, đền bù, bồi thường
competent;adj. có đủ khả năng, trình độ
complain;v. than phiền, khiếu nại
comply;v. tuân theo, đồng ý làm theo
compose;v. soạn, biên soạn
comprise;v. bao gồm
compromise;n. sự thoả hiệp
concession;n. sự nhượng bộ
confirm;v. xác nhận
consensus;n. sự đồng thuận, nhất trí
contractor;n. người thầu khoán
convince;v. Thuyết phục
cooperation;n. sự hợp tác
coordinate;v. kết hợp
copyright;n. bản quyền, quyền tác giả
counsellor;n. người khuyên bảo, cố vấn
creativity;n. óc sáng tạo, tính sáng tạo
deadline;n. thời hạn chót
deadlock;n. sự bế tắc (trong việc đạt một thỏa thuận)
decrease;v. làm giảm
dedication;n. ‹sự› cống hiến, hiến dâng, tận tâm, tận tụy
delegate;n. đại biểu
demanding;adj. khó khăn, đòi hỏi khắt khe
dependable;adj. có thể tin cậy được
dexterity;n. sự khéo tay, sự khéo léo
diagram;n. biểu đồ (hint :d...)
diploma;n. văn bằng, chứng chỉ
directory;n. sách hướng dẫn, danh bạ
disability;n. sự ốm yếu, tàn tật
disadvantage;n. bất lợi
discount;v. giảm, bớt, giảm giá, chiết khấu, khấu trừ
discrimination;n. sự phân biệt đối xử
dishonest;adj. không trung thực
distribute;v. phân phối
divide;v. chia ra, chia
dividend;n. tiền lãi cổ phần, tiền được cuộc, cái bị chia, số bị chia (toán)
downsize;v. cắt giảm nhân sự
elite;n. nhóm người trong xã hội được xem là quan trọng và có ảnh hưởng nhất bởi quyền lực, tài năng, sự giàu có... của họ
employ;v. thuê ai làm việc
enclose;v. gửi kèm
enclosure;n. vật được gửi đi cùng lần với lá thư (trong cùng một bì thư)
endeavour;n. (sự) cố gắng, nỗ lực
engagement;n. đính hôn
entitlement;n. quyền được có hoặc làm gì
entrepreneur;n. người khởi nghiệp
envelope;n. phong bì
escalate;v. leo thang (nghĩa bóng)
ethics;n. nguyên tắc đạo đức
evaluate;v. đánh giá, định giá, ước lượng
faculty;n. khoa, bộ môn
fax;n. hệ thống gửi tài liệu điện tử
feasible;adj. khả thi
feedback;n. phản hồi
flexible;adj. linh động, linh hoạt
forecast;v. dự báo, dự đoán, đoán trước
founder;n. nhà sáng lập
franchise;n. sự nhượng quyền thương hiệu
freelance;adj. làm nghề tự do
fringe benefit;n. phúc lợi phụ thêm (ngoài lương)
full-time;adv. (học, làm việc) toàn thời gian
graph;n. đồ thị
guideline;n. hướng dẫn, nguyên tắc chỉ đạo
haggle;v. mặc cả, tranh cãi
handbook;n. sổ tay hướng dẫn
handout;n. bản thông cáo về một sự kiện hoặc một vấn đề công chúng quan tâm, hoặc về quan điểm chính trị nào
handshake;n. cái bắt tay
harass;v. quấy rầy và làm phiền ai liên tục
headhunter;n. người, công ty săn đầu người
hierarchy;n. hệ thống cấp bậc
high-powered;adj. quyền cao chức trọng
hop;v. chuyển từ một hoạt động hay đề tài này sang cái khác
human resources;n. bộ phận nhân sự
implement;v. thi hành, thực hiện
incentive;n. các phần thưởng khuyến khích nhân viên làm việc tốt hơn, động cơ
inform;v. báo tin cho, cho biết, cung cấp tin tức
intermediary;n. người làm trung gian, người hoà giải
internship;n. kỳ thực tập
interrupt;v. gián đoạn
invest;v. đầu tư
invoice;n. hóa đơn
jam;n. sự tắc nghẽn
job description;n. bản mô tả công việc
job seeker;n. người tìm việc
job-sharing;n. việc 2 người chia nhau thời gian làm việc và tiền lương cho công việc đó
joint venture;n. công ty liên doanh
juggle;v. cố gắng giải quyết nhiều việc quan trọng cùng một lúc trong cuộc sống
know-how;n. bí quyết, cách làm, phương pháp
labourer;n. người lao động chân tay
ladder;n. cái thang
lay-off;n. sự tạm giãn thợ (vì không có việc), sự sa thải
livelihood;n. kế sinh nhai (cách kiếm tiền sinh sống)
lucrative;adj. có lợi, sinh lợi, béo bở
mailbox;n. hộp thư email
marker;n. bút đánh dấu
mediate;v. làm trung gian hòa giải, dàn xếp
memo;n. ghi chú mà một người gửi cho người khác trong cùng một tổ chức
mentor;n. thầy hướng dẫn
merchandise;n. hàng hóa (hint :m...)
meticulous;adj. tỉ mỉ, kỹ càng
microphone;n. míc
minimum wage;n. mức lương tổi thiểu
mutual;adj. lẫn nhau, qua lại
negotiate;v. thương lượng, đàm phán, điều đình
notebook;n. quyển vở
notify;v. thông báo
occupational;adj. (thuộc) nghề nghiệp
offline;adj. không trực tiếp kết nối với máy tính hoặc Internet
organize;v. tổ chức
orient;v. định hướng
outline;n. đề cương, dàn bài
overhead projector;n. máy chiếu
overtime;n. giờ làm thêm
overview;n. nhìn tồng quát, miêu tả chung, ngắn gọn
owe;v. nợ, mắc nợ, mang ơn
paperweight;n. vật chặn giấy
parcel;n. bưu kiện, gói hàng
participate;v. tham gia (hint :p...)
password;n. khẩu lệnh
payslip;n. phiếu trả lương
per diem;adj. mỗi ngày
perk;n. thù lao, bổng lộc, đặc quyền, lợi ích
photocopier;n.  
pile;v. chất đống lên, trở nên nhiều hơn
pointer;n. que (chỉ bản đồ, bảng...)
portfolio;n. danh mục đầu tư, danh sách vốn đầu tư (của 1 cty, ngân hàng...)
prejudice;n. định kiến, thành kiến
private sector;n. khu vực kinh tế tư nhân
probation;n. thời gian tập sự
public sector;n. khu vực kinh tế nhà nước
punctual;adj. đúng giờ
quit;v. nghỉ, bỏ (học, làm việc...)
racism;n. sự phân biệt chủng tộc
R & D;abbreviation. viết tắt của Research and Development - Nghiên cứu và phát triển
receipt;n. giấy biên nhận
reception;n. quầy lễ tân
receptionist;n. lễ tân
recommend;v. giới thiệu, tiến cử
recruit;n. lính mới, nhân viên mới, thành viên mới
recruiter;n. nhà tuyển dụng
redundant;adj. không có việc, bị sa thải
refund;n. hoàn tiền
reimburse;v. bồi thường
reject;n. đồ thừa, đồ bỏ, phế phẩm
reliable;adj. đáng tin cậy
relocate;v. di chuyển (nhân viên, công ty...) đến nơi khác
remind;v. nhắc nhở
reminder;n. vật nhắc nhở
resign;v. từ chức, xin thôi (việc)
resume;n. bản tóm tắt, sơ yếu lí lịch
retail;n. bán lẻ
retailer;n. nhà bán lẻ
retire;v. nghỉ hưu
rotation;n. sự luân phiên, sự đổi người làm một công việc nào
sack;n. sự sa thải
salesman;n. người bán hàng
scissors;n. cái kéo
self-confident;adj. tự tin
sexist;n. người phân biệt đối xử theo gới tính
shipment;n. sự vận chuyển hàng hóa
shortcoming;n. khuyết điểm
sick leave;n. nghỉ ốm
slide;n. một trang trình chiếu trong bài trình chiếu trên máy tính
socialize;v. hoà nhập, xã hội hoá
spam;n. thư rác
specialize;v. chuyên môn hóa, chuyên về
spreadsheet;n. chương trình máy tính bao gồm cột và dòng để hoạch đinh tài chính, tính toán chi phí...
stapler;n. cái dập ghim
stimulate;v. khích lệ, khuyến khích
summarize;v. tóm tắt, tổng kết
supervisor;n. người giám sát
surname;n. họ
tactic;n. chiến thuật
take-home pay;n. tiền lương sau khi đã trừ đi các khoản khác như thuế...
technician;n. kĩ thuật viên
teleconference;n. hội thảo từ xa (qua điện thoại và kết nối video)
tenure;n. nhiệm kỳ, sự nắm giữ một chức vụ nào
terminate;v. chấm dứt, kết thúc
trade-off;n. việc cân bằng hai thứ đối ngược nhau, sự thỏa hiệp
trainee;n. người đang được đào tạo, thực tập sinh
trash;n. rác
treasurer;n. thủ quỹ
underestimate;v. đánh giá thấp
upload;v. tải (dữ liệu) lên một hệ thống máy tính lớn hơn
vacation;n. kỳ nghỉ
verify;v. kiểm tra lại, thẩm tra, xác minh
vice-president;n. Phó giám đốc
visual aid;n. tranh ảnh, video... được sử dụng để minh họa trong quá trình dạy học
whiteboard;n. bảng trắng
wholesale;n. bán buôn
win-win;adj. có lợi cho các bên liên quan
workaholic;n. người nghiện công việc, người tham công tiếc việc
workforce;n. lực lượng lao động
workload;n. khối lượng công việc
workplace;n. nơi làm việc
wrap;v. gói
