I get up;Tớ thức dậy
I wonder how many peas there are;Tớ tự hỏi có bao nhiêu hạt ở đây
I have to crawl under the table;Tớ phải bò dưới bàn
I sweep the floor;Tớ quét nhà
It's so dusty;Nó rất bụi
I clean it every day;Tớ dọn dẹp mỗi ngày
I hold the dustpan;Tớ cầm cái hót rác
I put the trash in the dustpan;Tớ cho rác vào cái hót rác
The room is clean now;Bây giờ căn phòng đã sạch sẽ rồi
I open the window;Tớ mở cửa sổ
It's sunny today;Hôm nay trời nắng
The flowers look fresh;Những bông hoa tươi roi rói
I look out the window;Tớ nhìn ra ngoài cửa sổ
I'm waiting for my friend to come;Tớ đang đợi  bạn tớ đến
I wonder where she's walking now;Tớ tự hỏi  cô ấy đang  đi  bộ đến  đâu rồi?
I ride a horse;Tớ cưỡi ngựa
The horse is big;Tớ ngựa rất to
I enjoy riding;Tớ thích cưỡi ngựa
I light a match;Tớ quẹt 1 que diêm
The match is burning;Que diêm đang cháy
It's hot;Nó nóng
I put a candle down;Tớ đặt một ngọn nến xuống
I hold it with my right hand;Tớ cầm nó bằng tay phải
I squat down;Tớ ngồi xuống  (squat: ngồi xổm)
I put trash into the trash can;Tớ bỏ ra vào thùng rác
Don't litter the room;Đừng làm vương vãi ra phòng nhé
It already has some trash;Có một ít rác ở trong thùng rác rồi
I play ring toss;Tớ chơi ném vòng
I throw the blue ring;Tớ ném vòng màu xanh
I throw the red one on successfully;Tớ đã ném trúng vòng màu đỏ
I sleep in my bed;Tớ ngủ trên giường
My quilt is a yellow one with green dots;Chăn của tớ là chăn màu vàng chấm bi xanh
I'm Superman in my dream;Trong giấc mơ tớ là siêu nhân
I go to the bathroom;Tớ vào phòng tắm
I'm wee-weeing;Tớ đi tè
I rub my eye;Tớ rụi mắt
I take my pants down;Tớ kéo quần xuống
I bend down;Tớ cúi xuống
I put my pants on the floor;Tớ để quần ở trên sàn
I sit on the potty;Tớ ngồi trên cái bô
I put my hands on my knees;Tớ đặt tay trên đầu gối
I want to poo-poo;Tớ muốn đi ị
I make poo-poo;Tớ đi ị
I strain;Tớ rặn
I make grimaces;Tớ nhăn mặt
I wipe my fanny;Tớ lau sạch sẽ
I tear off some toilet paper;Tớ xé một ít giấy vệ sinh
I can do it by myself;Tớ có thể tự làm việc này
I flush the toilet;Tớ xả bồn cầu
Pew, it stinks;Eo, nó rất hôi
The water goes down;Nước chảy xuống dưới
I put away my pajamas;Tớ cởi bộ đồ ngủ
I have a bag for my pajamas;Tớ có túi đựng đồ ngủ
I change my clothes;Tớ thay quần áo
I wear my green striped shirt;Tớ mặc chiếc áo sọc xanh
Does it suit me?;Trông nó có hợp với tớ không?
I pass the butter;Tớ bỏ bơ sang một bên
I eat a fried egg and two sausages;Tớ ăn trứng rán và hai cái xúc xích
I also drink some milk;Tớ cũng uống một chút sữa nữa
I spill some milk;Tớ làm đổ một ít sữa ra ngoài
My elbow hit my cup;Khuỷu tay của tớ chạm vào cốc
I made a mess again;Tớ lại làm mọi thứ bừa bãi rồi
I get the rag;Tớ lấy giẻ lau
I have to wipe the table;Tớ phải lau bàn
My slippers come off;Dép của tớ trượt cả ra khỏi chân
I take my dishes to the sink;Tớ mang đĩa chén đến bồn rửa
I hold them with both hands;Tớ cầm chúng bằng cả hai tay
I walk very carefully;Tớ đi rất cẩn thận
I carry the stool;Tớ mang cái ghế đẩu ra
It's not so heavy;Nó không nặng lắm
Now, I'm going to do the dishes;Bây giờ tớ sẽ rửa chén đĩa
I go for a walk;Tớ đi dạo bộ
I feel happy;Tớ cảm thấy vui
I like going out;Tớ thích đi ra ngoài
I go to the park;Tớ đi đến công viên
It's my favorite place;Đó là địa điểm yêu thích của tớ
The gate is made of stone;Cổng được làm bằng đá
I look for good;Tớ tìm đồ
I open my bag;Tớ mở túi của mình ra
I brought some sweets;Tớ đã mang theo vài viên kẹo
I slide down the slide;Tớ trượt  cầu
The slide is in the shape of an elephant;Chiếc cầu trượt có hình con voi
It's a lot of fun;Thật là nhiều niềm vui
I see yellow flowers;Tớ nhìn thấy những bông hoa màu vàng
They are yellow tulips;Chúng là những bông hoa tuy-lip màu vàng
I count them;Tớ đếm chúng
I pick flowers;Tớ hái hoa
I want to give them to Mommy;Tớ muốn tặng hoa cho mẹ
Mommy will be glad;Mẹ sẽ rất vui
I hold Mommy's hand;Tớ cầm tay mẹ
Her hand is warm;Tay mẹ rất ấm
We go shopping;Tớ và mẹ đi mua sắm
I hurt my knee;Tớ làm đau đầu gối
I tripped over a stone;Tớ vấp phải một hòn đá
It hurts a lot;Nó rất đau
I eat ozoni;Tớ ăn súp ozoni * Ozoni: một một súp truyền thống của Nhật Bản
I can use my chopsticks well;Tớ có thể dùng đũa rất thành thạo
I put flour, water and eggs in the bowl;Tớ cho bột mì, nước và trứng vào trong 1 cái bát
I'm breaking an egg;Tớ đập một quả trứng
I'm a good cook;Tớ là một người nấu ăn giỏi
I stir them;Tớ khuấy chúng lên
I use a whisk;Tớ dùng một cái máy đánh trứng
I need much power to stir them;Tớ cần dùng nhiều sức để khuấy
I add a pinch of salt;Tớ bỏ thêm một chút muối
The salt is in a green pot;Muối ở trong cái lọ màu xanh
I season with salt;Tớ thêm muối vào
I ladle the batter;Tớ múc bột (batter: bột nhão)
I scoop it with a spoon;Tớ múc bằng một cái thìa
I have to be careful not to put in too much batter;Tớ phải cẩn thận không cho quá nhiều bột vào
I turn it over;Tớ dốc ngược bột xuống
It is mixed well;Nó được trộn rất kĩ rồi
It became a lump;Nó đã trở thành một cục bột
I knead it;Tớ nhào/ nặn cục bột
I sprinkle some flour over the board;Tớ rắc một ít bột mì lên tấm ván
It makes me tired;Nhào bột khiến tớ rất mệt
I read a book;Tớ đọc 1 cuốn sách
It's a very colorful picture book;Nó là một cuốn sách rất nhiều màu
I put my bear by my side;Tớ để con gấu bông bên cạnh mình
 I go to see my friend;Tớ đi gặp bạn của tớ
He lives in the next town;Cậu ấy sống ở thị trấn ngay cạnh
What shall we play today?;Hôm nay chúng tớ nên chơi gì đây?
I forgot my wallet;Tớ quên ví mất rồi
I have to go back soon;Tớ phải quay lại sớm
I can't take a bus without money;Tớ không thể bắt xe buýt mà không có tiền được
I draw the curtains;Tớ kéo rèm
It's getting dark;Trời trở nên tối hơn
I see a lot of people going home;Tớ nhìn thấy rất nhiều người đang trên đường về nhà
I lock the door;Tớ khóa cửa
I insert the key in the lock;Tớ cho chìa khóa vào ổ khóa
Don't forget to lock the door before you go out;Đừng quên khóa cửa trước khi bạn ra ngoài nhé
I put coins into the ticket machine;Tớ cho đồng xu vào máy bán vé
I know how to get the ticket;Tớ biết cách làm thế nào để lấy vé
There are always so many people in the station;Luôn luôn có rất nhiều người ở nhà ga (trạm)
I push the button;Tớ ấn nút
Then, the ticket comes out of the machine;Sau đó tấm vé sẽ ra khỏi chiếc máy
I only have to pay half the price;Tớ chỉ phải trả một nửa giá tiền thôi
I put the ticket in my pocket;Tớ cho vé vào túi quần
I must remember where I put it;Tớ phải nhớ nơi tớ để vé
I had my ticket punched;Vé của tớ đã được đục lỗ
I run around in the train;Tớ chạy vòng quanh trên tàu hỏa
Nobody sits here;Không có ai ngồi ở đây cả
Wow, it's a lot of fun;Ồ, thật nhiều điều thú vị
I get off the train;Tớ ra khỏi tàu
I jump onto the platform;Tớ nhảy lên sân ga
The train is going to pull out;Tàu sẽ chạy qua một bên
I give my ticket to the station employee;Tớ đưa vé cho nhân viên soát vé của nhà ga
He wears a blue uniform;Chú ấy mặc đồng phục màu xanh
I want to become a station employee too;Tớ cũng muốn trở thành nhân viên nhà ga
I wait for the flower to bloom;Tớ chờ hoa nở
It has a pink bulb;Nó có nụ màu hồng
I planted seeds in this flower pot;Tớ đã gieo hạt vào chiếc bình hoa này
I take the toy away from my friend;Tớ giật đồ chơi khỏi tay bạn tớ
He wants to play with it too;Cậu ấy cũng muốn chơi
He tries to get it back;Cậu ấy cố gắng tìm cách lấy nó lại
I share my toy with Yukio;Tớ chia sẻ đồ chơi với Yukio
We should be kind to friends;Chúng ta nên tử tế với bạn bè
He is glad;Cậu ấy rất vui
I play with blocks;Tớ chơi với các khối xếp hình
I want to stack the blocks as tall as I am;Tớ muốn xếp chồng các hình khối cao như tớ
There're many kinds of shapes of blocks;Có rất nhiều hình khối có hình dạng khác nhau
I finish the puzzle;Tớ đã xếp hình xong
I put the last piece in the center of it;Tớ xếp mảnh ghép cuối cùng vào giữa bức tranh
It turned out to be a purple car;Nó đã trở thành một chiếc xe hơi màu tím
I meet a friend;Tớ gặp một người bạn
I wave to her;Tớ vẫy cô ấy
We talk for a while;Chúng tớ nói chuyện một lát
 I go shopping;Tớ đi mua sắm
I get to the shop;Tớ đến cửa hàng
I can see a lot of fruit;Tớ nhìn thấy rất nhiều hoa quả
I hold a basket;Tớ xách một chiếc giỏ
It's big;Nó rất to
I carry it with both hands;Tớ phải xách nó bằng cả hai tay
I buy some bananas;Tớ mua vài quả chuối
I like bananas;Tớ thích chuối
I choose ripe ones;Tớ chọn những quả đã chín
I say the name of the vegetable;Tớ đọc tên của loại củ
It is “carrot”;Đó là cà rốt
Can you name the fruit?;Bạn có thể kể tên một loại quả không?
I eat ice cream in the coffee shop;Tớ ăn kem trong quán cà phê
Mommy drinks cream soda;Mẹ uống soda kem
We have a good time;Tớ và mẹ đã có khoảng thời gian tuyệt vời bên nhau
I honk the horn;Tớ bấm còi
It makes a big noise;Nó tạo ra tiếng ồn rất lớn
I sit in the driver's seat;Tớ ngồi vào ghế lái xe
I cook dinner;Tớ nấu bữa tối
I mix the ingredients with chopsticks;Tớ dùng đũa trộn các nguyên liệu với nhau
I slice the cucumber;Tớ thái dưa chuột
I run very fast;Tớ chạy rất nhanh
I want to win the race;Tớ muốn thắng cuộc đua này
I tie the red band around my head;Tớ đeo một chiếc băng đỏ quanh đầu
I throw a ball;Tớ ném bóng
I try to throw it far;Tớ cố gắng ném nó thật xa
It's fun to play outside;Chơi ở ngoài thật vui
I dig in the garden;Tớ đào hố ở trong vườn
I use a shovel;Tớ dùng một cái xẻng
I stretch out my legs;Tớ dang chân ra
I walk fast;Tớ đi bộ rất nhanh
I swing my arms;Tớ vung vẩy tay
Walking fast is good for my health;Đi bộ nhanh rất tốt cho sức khỏe của tớ
I walk slowly;Tớ đi bộ chậm
I feel like a turtle;Tớ thấy mình giống như một con rùa vậy
It takes more time to get to the place;Sẽ tốn thời gian hơn để đến một nơi nào đó
I pull weeds;Tớ nhổ cỏ
It's hard work;Đó là một công việc nặng nhọc
There are a lot of weeds in my garden;Có rất nhiều cỏ ở trong vườn
I pick baby corn;Tớ hái ngô non
The bowl is almost full;Cái bát gần đầy rồi
The stalks grow high;Thân cây mọc cao
I sit on the sofa;Tớ ngồi trên ghế sofa
I hold a toy rabbit in my arm;Tớ giữ con thỏ đồ chơi ở trong tay mình
I wonder where Mommy has gone;Tớ tự hỏi không biết mẹ đi đâu rồi
I hop about;Tớ nhảy lò cò
Mommy comes back;Mẹ đã quay về
I'm happy;Tớ rất vui
I have dinner;Tớ ăn tối
I wear my yellow bib;Tớ đeo cái yếm màu vàng
I eat rice a lot;Tớ ăn rất nhiều cơm
I set the table;Tớ chuẩn bị bàn ăn
I spread the tablecloth over the table;Tớ trải khăn trải bàn
I have a party today;Tớ có một bữa tiệc hôm nay
I put the flowers on the table;Tớ đặt hoa lên bàn
The flowers are beautiful;Hoa rất đẹp
I put them at the center of the table;Tớ để hoa vào chính giữa bàn
I carry the dish with two hands;Tớ bê đĩa bằng hai tay
It looks delicious;Nó trông rất ngon
I help Mommy to prepare for the party;Tớ giúp mẹ chuẩn bị bữa tiệc
I sit on the chair;Tớ ngồi lên ghế
I'm sitting still;Tớ vẫn đang ngồi
I'm well-mannered;Tớ rất lịch sự
I take a bath;Tớ đi tắm
I'm naked;Tớ đang không mặc gì
I take my toy with me;Tớ mang theo đồ chơi của mình
I shampoo my sister's hair;Tớ gội đầu cho em gái
She looks like she feels better;Có vẻ như em ấy đang cảm thấy tốt hơn
She has short hair;Em ấy có tóc ngắn
I feel better;Tớ cảm thấy dễ chịu hơn
The toy duck is floating around me;Con vịt đồ chơi đang nổi bồng bềnh quanh người tớ
I count twenty with my body soaked;Tớ ngâm mình trong nước và đếm đến 20
I dry my body;Tớ lau khô người
I feel warm;Tớ thấy ấm
I wrap myself in a bathtowel;Tớ quấn người mình bằng một chiếc khăn tắm
 I weigh myself on the scale;Tớ cân
I look at the scale;Tớ nhìn vào cân
I put on weight;Tớ tăng cân rồi
I have seafood for dinner;Tớ ăn hải sản cho bữa tối
I have two rolls instead of rice;Tớ ăn hai ổ bánh mì thay cơm
I like fried shrimp;Tớ thích ăn tôm chiên
I hold my breath;Tớ nín thở
I have hiccups;Tớ bị nấc
I want Mommy to tap my back;Tớ muốn mẹ vỗ đằng sau lưng cho tớ
I get into bed;Tớ leo lên giường
I sleep with my bear;Tớ ngủ với con gấu bông của mình
I want to have a good dream;Tớ muốn mơ một giấc mơ thật đẹp
I get under the blanket;Tớ chui dưới chăn
I crawl under the blanket;Tớ bò dưới cái chăn
I feel like a caterpillar;Tớ thấy mình giống như 1 con sâu vậy
 I stay at home alone;Tớ ở nhà một mình
I feel lonely;Tớ cảm thấy cô đơn
I hope Mommy comes home soon;Tớ mong mẹ sẽ sớm về nhà
I eat a lot;Tớ ăn rất nhiều
I eat every kind of food;Tớ ăn nhiều loại thức ăn
Sometimes I eat too much;Đôi lúc tớ ăn quá nhiều
I fall and get hurt;Tớ ngã và bị đau
My leg is bleeding;Chân của tớ chảy máu
I try not to cry;Tớ cố không khóc
I cover myself up in the blanket;Tớ đắp chăn lên người
I'm going to take a nap;Tớ sẽ đi nghỉ trưa
I look at my toes under the blanket;Tớ nhìn vào những ngón chân ở dưới chăn 
I carry my school bag;Tớ mang theo cặp sách
It's new;Nó là cặp sách mới
I think it's suit me;Tớ nghĩ nó rất hợp với tớ
I forgot to gargle;Tớ quên súc họng
I always gargle before I go out;Tớ luôn luôn súc họng khi đi ra ngoài
It prevents catching a cold;Nó giúp ngăn ngừa bị cảm lạnh
I see a doctor;Tớ gặp bác sĩ
I have a sore throat;Tớ bị viêm họng
He checks my throat;Bác ấy kiểm tra họng của tớ
I get a shot; Tớ bị tiêm
I roll up my left sleeve;Tớ vén tay áo bên trái lên
The shot is painful;Tiêm rất đau
I sing a song;Tớ hát một bài hát
I sing along with the piano;Tớ hát  theo  đàn piano
I clasp my hands behind my back;Tớ nắm chặt tay mình ở đằng sau lưng
I play the piano;Tớ chơi đàn
I practice it every day;Tớ luyện tập mỗi ngày
 I take a piano lesson once a week;Tớ tham gia lớp học đàn piano mỗi tuần một lần
 I clap my hands;Tớ vỗ tay
I watch a show;Tớ xem một buổi trình diễn
I clap my hands in time to the music;Tớ vỗ tay theo nhạc
I click my castanets;Tớ bật chiếc castenet của tớ lên * Castenets là nhạc cụ cầm tay nhỏ được sử dụng trong âm nhạc Tây Ban Nha
I spread my arms;Tớ dang hai cánh tay
My next turn comes soon;Sắp đến lượt tớ rồi
I fold paper;Tớ gấp giấy
I do origami;Tớ gấp origami * Origami là nghệ thuật gấp giấy của Nhật Bản
I make a triangle first;Đầu tiên, tớ gấp hình tam giác
I make a paper crane;Tớ gấp một con hạc giấy
I made it very well;Tớ gấp rất đẹp
I have two more pieces of paper left;Tớ còn hai tờ giấy nữa
I fold paper in half;Tớ gập giấy làm đôi
It's a big piece;Đó là một mảnh giấy rất to
What shall I make next?;Tiếp theo tớ nên gập gì đây?
I decorate the room with paper cranes;Tớ trang trí phòng với những con hạc giấy
I hang it on the wall;Tớ treo nó lên tường
There is a picture on the wall too;Có một bức tranh cũng được treo ở trên tường
I get mad;Tớ nổi giận
I'm flushed with anger;Mặt tớ đỏ bừng vì cơn giận
I clench my fists;Tớ nắm chặt hai nắm đấm
I show a picture story;Tớ đưa ra một bức tranh trong một câu chuyện
I put the pictures on the desk;Tớ để bức tranh lên bàn
I read the story in a very amusing way;Tớ đọc truyện theo một cách rất vui vẻ
I take my shirt out of the basket;Tớ lấy áo ra khỏi giỏ
Which is my shirt?;Cái nào là áo của tớ?
I pick a blue shirt;Tớ nhặt chiếc áo màu xanh lên
I ask Mommy;Tớ hỏi mẹ
She is reading a magazine;Mẹ đang đọc báo
She knows a lot of things;Mẹ biết rất nhiều điều
I put on my make-up;Tớ trang điểm
I put some lipstick on my lips;Tớ tô son
I mess up the room with cosmetics;Tớ làm phòng bừa bộn với đồ mĩ phẩm của mình
I imitate the sumo wrestler;Tớ bắt chước theo võ si sumo
 He is fat;Chú ấy rất béo
He looks strong;Chú ấy trông rất khỏe
I pile up the blocks;Tớ xếp hình khối
I put the tringle block on top of it;Tớ đặt hình tam giác lên trên cùng
I pick the blocks from the box;Tớ nhặt các khối hình từ hộp ra
I make a story house;Tớ xếp thành một ngôi nhà
It's a big colorful house;Đó là một ngôi nhà rất nhiều sắc màu
I want to live in such a house;Tớ muốn sống trong một ngôi nhà như vậy
I reach for a block;Tớ với lấy khối hình
The block is rolling on;Khối hình đang lăn đi
I crawl to get it;Tớ bò theo để lấy nó
I put three marbles under the number 3;Tớ đặt ba viên bi dưới số 3
There are numbers 1 to 5 on the paper;Có các số đếm từ 1 đến 5 trên tờ giấy
I study Math;Tớ học Toán
I count the marbles;Tớ đếm những viên bi
There are ten marbles on the table;Có 10 viên bi trên bàn
I put five marbles in each line;Tớ xếp mỗi hàng 5 viên bi
I write on the board;Tớ viết lên bảng
I write with a piece of chalk;Tớ viết bằng một mẩu phấn
I write it large;Tớ viết thật to
I fall off the stool;Tớ ngã khỏi ghế
I lost my balance;Tớ bị mất thăng bằng
Help me!;Giúp tớ với!
I study about shapes;Tớ học về hình dạng
I'm gazing at the blue block;Tớ nhìn chằm chằm vào hình màu xanh
Where should I put it?;Tớ nên đặt nó vào đâu?
I match the shapes;Tớ ghép các hình khối cho khớp
I finished;Tớ đã hoàn thành
I'm sastisfied;Tớ rất hài lòng
I say the color of each card;Tớ đọc màu của mỗi tấm thẻ
I have 5 pieces of paper on the table;Tớ có 5 tấm thẻ trên bàn
They are red, purple, green, blue and yellow;Chúng là đỏ, tím, xanh lá cây, xanh dương, và vàng
I go get my lunch;Tớ đi lấy bữa trưa
I'm very hungry;Tớ đang rất đói
I hope it is a hot dog;Tớ hi vọng đó là món bánh mì kẹp xúc xích
I get older;Tớ lớn hơn rồi
I was cute when I was a baby;Khi còn nhỏ tớ rất đáng yêu
I remember things when I was in Mommy's tummy;Tớ nhớ cả những điều khi còn ở trong bụng mẹ
I go to school;Tớ đi học
I wear my yellow cap;Tớ đội chiếc mũ lưỡi trai màu vàng
I carry my schoolbag on my back;Tớ đeo cặp trên lưng
I eat salad;Tớ ăn rau trộn
I am about to eat a piece of tomato;Tớ sẽ ăn một miếng cà chua
Vegetables are good for my health;Rau củ rất tốt cho sức khỏe của tớ
I turn head over heels;Tớ lộn ngược
Everything looks upside down;Mọi thứ trông như bị đảo ngược
I am good at doing somersaults;Tớ rất giỏi lộn nhào
I get up my myself;Tớ tự đứng dậy
I dust off my bottom;Tớ phủi mông
Somersaults are a piece of cake;Lộn nhào thật dễ
I push up my friend's bottom;Tớ đẩy mông bạn tớ
I help him to do a somersault;Tớ giúp cậu ấy lộn nhào
He practices it many time;Cậu ấy luyện tập rất nhiều lần
I skip rope ten times without stopping;Tớ nhảy dây 10 lần liên tục mà không nghỉ
I won't stop until twenty;Tớ sẽ không dừng lại cho đến lần thứ 20
I'm out of breath;Tớ sắp hết hơi rồi
I stand in line;Tớ đứng trong hàng
I wait for my turn;Tớ đợi đến lượt mình
Whose turn is it?;Đến lượt ai rồi nhỉ?
I run and jump;Tớ chạy và nhảy
I jump as far as I can;Tớ nhảy xa nhất có thể
My classmate runs after me;Bạn cùng lớp của tớ đang chạy sau tớ
I wash my hands;Tớ rửa tay
I put the soap on my hand;Tớ cho xà phòng vào tay
The water is running down;Nước đang chảy xuống
I dry my hands with a towel;Tớ lau tay khô bằng một chiếc khăn
I hang the towel;Tớ phơi khăn lên
Now my hands are clean;Giờ thì tay tớ đã sạch rồi
I dig a tunnel through the watermelon;Tớ khoét một cái lỗ trong quả dưa hấu
I dig it with a fork;Tớ khoét bằng một cái dĩa
I take the seeds off too;Tớ gẩy hết hạt dưa đi
I look through the hole;Tớ nhìn qua cái lỗ
I'll eat all of it by myself;Tớ sẽ ăn hết chỗ này
I make a big hole;Tớ khoét một cái lỗ rất to
I wear glasses;Tớ đeo kính
They're too big for me;Nó quá to so với tớ
I have good eyesight;Tớ có thị lực rất tốt
I go to the zoo;Tớ đi đến sở thú
I go through the gate;Tớ đi xuyên qua cổng
I can see various animals at the zoo;Tớ có thể nhìn thấy rất nhiều loại động vật khác nhau trong sở thú
I take chocolate and cookies with me;Tớ mang theo sô- cô-la và bánh quy
I love sweets;Tớ thích kẹo
I take the sweets out of my bag;Tớ lấy kẹo ra khỏi túi
