April;n. tháng Tư
find;v. tìm kiếm
fit;v. hợp, vừa
flag;n. cờ
flash;n. đèn nháy
flood;n. trận lụt
flu;n. cúm, bệnh cúm
fly;n. con ruồi
follow;v. đi theo, theo sau
foolish;adj. dại dột, ngu xuẩn
fresh;adj. mùi tươi mới
fry;v. rán, chiên 
garbage;n. rác
gate;n. cổng
gentleman;n. người đàn ông phong nhã, quý phái
geography;n. môn điạ lý
gift;n. quà
glad;adj. vui
glass;n. thủy tinh
go;v. đi
great;adj. tuyệt vời
guess;v. phỏng đoán
guest;n. khách khứa, khách mời
hate;v. ghét, không thích
hear;v. nghe (hint :h...)
heavy;adj. nặng
hero;n. anh hùng
history;n. môn Lịch sử, lịch sử
holiday;n. ngày lễ
hug;v. ôm chặt
idea;n. ý tưởng
ill;adj. Đau yếu, ốm
insert;v. chèn vào, cho vào
inside;adv. bên trong
install;v. lắp đặt, cài đặt
invent;v. phát minh, sáng chế
iron;v. là (quần áo)
join;v. tham gia
jump;v. nhảy, cú nhảy
kick;v. đá
kill;v. giết chết
kiss;v. hôn
know;v. biết
lady;n. cô gái, quý bà (đặc biệt người lớn tuổi, cách nói lịch sự)
large;adj. rộng (hint :l...)
laugh;n. tiếng cười (cười lớn)
law;n. luật
learn;v. học, nghiên cứu
left;n. bên trái
life;n. cuộc sống
light;adj. sáng sủa (hint :l...)
list;n. danh sách
listen;v. nghe (hint :l...)
literature;n. văn học
live;v. sống, sinh sống
look;v. nhìn (hint :l...)
love;v. yêu
low;adj. thấp
lucky;adj. may mắn
machine;n. máy, máy móc
make;v. tạo ra, làm ra
make-up;n. đồ trang điểm
manager;n. giám đốc (hint :m...)
match;v. ghép, nối
mathematics;n. toán học
medicine;n. thuốc
meet;v. gặp, gặp mặt
mix;n,v. (n.) hỗn hợp, (v.) hợp vào, trộn lẫn
model;n. mô hình, mẫu
move;n. sự di chuyển
news;n. tin tức
noisy;adj. ồn ào
novel;n. truyện, tiểu thuyết
open;v. mở
packet;n. gói nhỏ, hộp nhỏ
paint;v. sơn
part;n. phần, bộ phận
passport;n. hộ chiếu
pause;n. sự tạm nghỉ, ngưng
pay;v. trả, đưa
peaceful;adj. yên bình, thanh bình
period;n. tiết học
petrol;n. xăng dầu
phone;v. điện thoại
place;n. nơi chốn
plan;n. kế hoạch, dự án
play;v. chơi
pocket;n. túi, bọc
present;v. đưa ra, bày tỏ, giới thiệu
price;n. giá tiền
pull;v. kéo
push;v. đẩy
put;v. đặt, để, cho vào
quiet;adj. yên lặng, yên tĩnh, êm ả
quite;adv. tương đối, khá
read;v. đọc
ready;adj. sẵn sàng
really;adv. thực sự
receive;v. nhận
record;n. hồ sơ, sổ sách, biên bản
refrigerator;n. tủ lạnh
register;v. đăng ký
relationship;n. mối quan hệ, mối liên hệ
relax;v. thư giãn
remember;v. nhớ, ghi nhớ
remove;v. loại bỏ
rent;v. thuê
repeat;v. nhắc lại
replace;v. thay thế
reply;v. trả lời, đáp lại 
report;v. báo cáo, tường thuật
retired;adj. nghỉ hưu
ride;v. đi (xe), cưỡi (ngựa,…)
right;n. bên phải
round;adj. tròn
run;v. chạy, vận hành
sale;n. đợt bán hàng, giảm giá
salt;n. muối
sample;n. mẫu, mẫu vật
sand;n. cát
say;v. nói ( cái gì)
science;n. khoa học, môn Khoa học
scissors;n. cái kéo
scream;v. kêu thét, la hét
screen;v. sàng, lọc (hồ sơ xin việc)
search;n. cuộc tìm kiếm, thăm dò
second;ordinal no. thứ hai, thứ nhì
secret;n. bí mật
see;v. nhìn (hint :s...)
select;v. chọn lựa, chọn lọc
sell;v. bán
send;v. gửi đi
sentence;n. câu
sharp;adj.  thông minh, láu lỉnh
shine;v. Chĩa ánh sáng (đèn pin..) về một hướng nào đó
shout;v. la hét, reo hò
similar;adj. tương tự
simple;adj. đơn giản
sing;v. hát
sink;n. bồn rửa
sit;v. ngồi
size;n. cỡ
skill;n. kỹ năng, kỹ xảo
sleep;n. sự, giấc ngủ
smell;v. ngửi, có mùi, mùi hương
smile;v. cười, mỉm cười
smoke;v. hút (thuốc)
sneeze;v. hắt hơi
soldier;n. người lính
soon;adv. sớm (hint :s...)
speak;v. nói
spoon;n. cái thìa
stand;v. đứng, chân chống
start;v. bắt đầu (hint :s...)
stone;n. đá cục
stop;v. dừng lại
storm;n. cơn bão, giông tố
strange;adj. lạ lẫm
study;v. học
style;n. phong cách
swim;v. bơi
symbol;n. biểu tượng
system;n. hệ thống, chế độ
tablet;n. viên thuốc
take;v. đưa, đưa đi, mang theo
talk;v. nói chuyện, chuyện trò
taste;n. vị giác, nếm, sở thích, thị hiếu
teach;v. dạy, dạy học
tell;v. bảo, nói cho biết
thief;n. tên trộm
think;v. suy nghĩ, nghĩ
thousand;no. nghìn, ngàn
throw;v. ném, quăng
together;adv. cùng nhau
tomorrow;n. ngày mai
tool;n. dụng cụ
topic;n. chủ đề
total;adj. n. tổng cộng
touch;v. đụng, chạm
translate;v. chuyển sang, biến thành
travel;v. đi lại, đi du lịch
trouble;n. điều lo lắng, điều rắc rối, điều phiền muộn
trust;n. sự tin tưởng, tín nhiệm
truth;n. sự thật, chân lý
turn;v. rẽ, quẹo
ugly;adj. xấu
understand;v. hiểu, thông cảm
upstairs;adv. ở trên gác, ở tầng trên, lên cầu thang
use;v. sử dụng, dùng
vacation;n. kỳ nghỉ
vocabulary;n. từ vựng
voice;n. giọng nói
volunteer;n. người tình nguyện, tình nguyện viên
vote;n. lá phiếu, sự bỏ phiếu
wait;v. đợi, đợi chờ
wake;v. tỉnh dậy, thức dậy
wall;n. tường
want;v. muốn, muốn có
wash;v. rửa, giặt
waste;v. lãng phí
wave;v. vẫy tay
weak;adj. yếu, yếu ớt
wear;v. mang, đeo, mặc
weight;n. khối lượng, cân nặng
wet;adj. ướt
wide;adj. rộng (hint :w...)
win;v. chiến thắng, đạt được
wish;n. mong muốn
wood;n. gỗ
wool;n. len
work;v. làm việc
world;n. thế giới
write;v. viết
wrong;adv. sai
zone;n. vùng, khu vực (có một đặc trưng nào đó)
able;adj. có thể (hint :a...)
absent;adj. vắng mặt, đi vắng
accept;v. nhận, chấp nhận
accident;n. tai nạn
activity;n. hoạt động
add;v. thêm vào
advise;v. khuyên
afraid;adj. sợ
ahead;adv. phía trước
already;adv. rồi
always;adv. luôn luôn
ambulance;n. xe cứu thương
arrive;v. đến
asleep;adj. ngủ, đang ngủ
attend;v. tham dự, có mặt
audience;n. khán giả
automatic;adj. tự động
avoid;v. tránh, tránh khỏi, hủy bỏ, bác bỏ
award;v. thưởng, tặng
beautiful;adj. xinh đẹp
begin;v. bắt đầu (hint :b...)
believe;v. tin
bite;n. vết cắn, miếng
blind;adj. mù, không nhìn thấy được
boil;v. đun sôi, luộc
borrow;v. mượn, vay
brain;n. não bộ
bright;adj. sáng sủa (hint :b...)
broad;adj. to, rộng
burn;v. đốt, cháy
calculate;v. tính, tính toán
cancer;n. ung thư
care;n. sự chăm sóc, sự cẩn thận
careful;adj. cẩn thận
catch;v. bắt lấy, nắm lấy
ceiling;n. trần
celebrate;v. kỉ niệm
century;n. thế kỷ
chance;n. cơ hội
chew;v. nhai
chief;n. người có cấp bậc cao nhất trong một tổ chức, một cơ quan
choice;n. sự lựa chọn
choose;v. chọn, chọn lựa
circle;n. vòng tròn
clever;adj. thông minh, nhanh trí
climate;n. khí hậu
cloth;n. vải
combine;v. kết hợp, phối hợp
command;n. ra lệnh
communicate;v. giao tiếp
community;n. cộng đồng
compare;v. so sánh
complain;v. than phiền, khiếu nại
complete;v. hoàn thành
complex;adj. phức tạp, khó hiểu
condition;n. điều kiện, tình trạng
conference;n. hội nghị
consist;v. bao hàm, bao gồm
consumer;n. người tiêu dùng
contact;v. tiếp xúc, liên hệ
continue;v. tiếp tục, duy trì
corner;n. góc
cost;v,n. có giá là, chi phí
count;v. đếm, tính
couple;n. cặp, đôi (hint :c...)
course;n. khóa học
crazy;adj. điên, ngốc
create;v. tạo ra
culture;n. văn hóa (của một nhóm hoặc tổ chức)
cure;n. thuốc, phương thuốc, cách chữa bệnh
customer;n. khách hàng (người mua hàng hóa hoặc dịch vụ)
daily;adj. hằng ngày
damage;n. hư hỏng, hỏng hóc, thiệt hại vật chất
dangerous;adj. nguy hiểm
dead;adj. chết (người, vật, cây cối)
deaf;adj. điếc, không nghe thấy được
dear;adj. thân, thân mến
death;n. cái chết
decade;n. thập kỷ, thời kỳ mười năm
decide;v. quyết định
decrease;v. làm giảm
depend;v. dựa vào, phụ thuộc vào
destroy;v. tàn phá, phá hủy
diet;n. ăn kiêng, chế độ ăn uống
different;adj. khác
difficult;adj. khó
digital;adj. thuộc về số, kĩ thuật số
discuss;v. thảo luận, tranh luận (một vấn đề gì)
disease;n. bệnh, bệnh tật
dislike;v. không thích
divorced;adj. li dị
downstairs;adv. xuống cầu thang
drop;n. giọt
drought;n. nạn hạn hán
economy;n. nền kinh tế
educate;v. giáo dục, dạy
effect;n. hiệu quả, hiệu ứng
electricity;n. điện
employ;v. thuê ai làm việc
employee;n. nhân viên, người lao động
employer;n. chủ, người sử dụng lao động
energy;n. năng lượng, sức lực
engaged;adj. đã đính ước, đính hôn
enjoy;v. yêu thích, thưởng thức
entertainment;n. ‹sự› giải trí, tiêu khiển
envelope;n. phong bì
environment;n. môi trường
error;n. lỗi, sai lầm
especially;adv. đặc biệt
excellent;adj. xuất sắc, ưu tú
explain;v. giải thích
explore;v. khảo sát, thăm dò, khám phá
fail;v. thất bại
fall;n. mùa thu (hint :f...)
famous;adj. nổi tiếng
fee;n. lệ phí, thù lao
festival;n. đại hội, lễ hội, liên hoan
fever;n. sốt
final;n. trận, vòng chung kết
finally;adv. cuối cùng
flight;n. chuyến bay
flow;v. chảy
force;v. bắt buộc
forecast;v. dự báo, dự đoán, đoán trước
forget;v. quên
friendly;adj. thân thiện, thân mật
friendship;n. tình bạn
funeral;n. lễ tang
funny;adj. hài hước, khôi hài
future;n. tương lai
general;n. vị tướng, nhà chiến lược xuất sắc
get;v. có được, nhận được
give;v. đưa, trao, cho
global;adj. toàn cầu
glue;n. keo hồ
goal;n. mục đích, mục tiêu
goods;n. hàng hóa
government;n. chính phủ
grow;v. trồng, mọc
habit;n. thói quen
habitat;n. môi trường sống
happen;v. xảy ra
hard;adv. vất vả,chăm chỉ
harm;n. sự tổn hại
healthy;adj. khỏe mạnh, có lợi cho sức khỏe
heat;v. đun nóng
help;v. giúp, giúp đỡ
hide;v. giấu
hire;v. thuê, mướn, tiền trả công
hobby;n. sở thích
hope;n. hy vọng
huge;adj. to lớn, rộng lớn
human;n. con người, loài người
hurry;n. Nhanh lên!
imagine;v. tưởng tượng, hình dung
important;adj. quan trọng, trọng đại
industry;n. công nghiệp, ngành công nghiệp
information;n. thông tin
insect;n. côn trùng
intelligent;adj. thông minh (hint :i...)
interesting;adj. thú vị
international;adj. (thuộc về) quốc tế
interview;n. cuộc phỏng vấn
introduce;v. giới thiệu
invite;v. mời
island;n. đảo
jewellery;n. trang sức
journey;n. chuyến đi
joy;n. niềm vui, sự vui mừng
keep;v. giữ, duy trì
kind;adj. tử tế, ân cần
knowledge;n. kiến thức, sự hiểu biết
landscape;n. phong cảnh
language;n. ngôn ngữ
last;v. kéo dài
leader;n. (người) lãnh đạo
leave;v. khởi hành, rời khỏi
lend;v. cho mượn
level;n. cấp, cấp bậc, trình độ
lift;v. nâng lên, nhấc lên
like;v. thích
local;adj. mang tính địa phương
lock;v. khóa
lonely;adj. cô đơn
lose;v. làm mất, thất lạc, không thể tìm thấy
loud;adj. to
lovely;adj. xinh đẹp, đáng yêu
luggage;n. hành lý, đồ đạc
main;adj. chính yếu, chủ đạo
married;adj. lập gia đình
maybe;adv. có lẽ
meal;n. bữa ăn
mean;v. nghĩa là, có nghĩa là
means;n. phương tiện
media;n. truyền thông
memory;n. trí nhớ
message;n. thông báo, lời nhắn
middle;adj. giữa
million;n. triệu
miss;v. thấy nhớ (ai đó)
modern;adj. hiện đại
moment;n. khoảnh khắc, chốc lát
nature;n. thiên nhiên
need;v. cần
network;v. nối mạng
opposite;prep. đối diện
order;n. đơn đặt hàng
owner;n. người sở hữu
pair;n. cặp, đôi (hint :p...)
palace;n. cung điện
pass;v. đi qua
passenger;n. hành khách
patient;n. bệnh nhân
per cent;adj. phần trăm
perfect;adj. hoàn hảo, đầy đủ
pick;v. hái, nhặt
planet;n. hành tinh
popular;adj. nổi tiếng, phổ biến
position;n. vị trí
possible;adj. có thể (hint :p...)
pour;v. đổ, rót
power;n. điện, năng lượng
practice;v. thực hành, rèn luyện 
pray;v. cầu nguyện
prefer;v. thích hơn
prepare;v. chuẩn bị
president;n. hiệu trưởng, chủ tịch
press;v. ấn, nhấn
prize;n. giải thưởng
problem;n. vấn đề
produce;v. sản xuất, sản sinh, tạo ra
product;n. sản phẩm
project;v. kế hoạch, đồ án, dự án
protect;v. bảo vệ, bảo hộ, che chở
provide;v. cung cấp
public;adj. công cộng, công
punch;n. cú đấm
realize;v. nhận ra, nhận thức
reason;n. lý do
receipt;n. giấy biên nhận
reduce;v. giảm, hạ
refuse;v. từ chối
region;n. vùng/miền
regret;n. sự hối tiếc
reward;n. tiền thưởng, vật thưởng (làm việc chăm chỉ...)
rise;v. mọc (mặt trời), nhô lên
rob;v. cướp
rule;n. quy tắc, phép tắc
salary;n. lương hàng tháng
seat;n. chỗ ngồi
sense;n. giác quan, tri giác, cảm giác
series;n. phim dài kỳ trên truyền hình
serious;adj. nghiêm túc
serve;v. múc, xới, gắp ra để ăn
service;n. dịch vụ
side;n. phía, bên
sign;n. bảng hiệu, dấu hiệu
silent;adj. yên lặng
silly;adj. ngớ ngẩn, ngốc nghếch
skyscraper;n. nhà chọc trời
smart;adj. thông minh (hint :s...)
society;n. xã hội
solve;v. giải quyết, tìm giải pháp
sometimes;adv. thỉnh thoảng, đôi khi
sound;v. nghe có vẻ, nghe như
sour;adj. chua
special;adj. đặc biệt
speech;n. bài diễn văn, diễn thuyết
spend;v. sử dụng, trải qua
spicy;adj. cay nồng
statue;n. tượng
steal;v. ăn cắp, lấy trộm
step;n. bước đi, tiếng bước chân
straight;adj. tóc thẳng
supply;n. ‹sự/đồ/nguồn/_› dự trữ, tiếp tế cấp
sure;adj. chắc chắn
swallow;v. nuốt, tiêu hóa
task;n. nhiệm vụ
tear;n. nước mắt, lệ
technology;n. công nghệ
terrible;adj. kinh khủng
therefore;adv. vì vậy
tidy;v. dọn dẹp
tie;v. trói, buộc
tourist;n. khách du lịch
traffic;n. sự đi lại, giao thông
true;adj. đúng, thật
type;v. đánh máy
useful;adj. hữu ích
usually;adv. thường thường, thường xuyên
version;n. phiên bản
victim;n. nạn nhân
victory;n. chiến thắng
way;n. cách thức, phương pháp
weather;n. thời tiết
without;prep. không có
